Most used words by BENEE: 
Number of songs scanned: 28

653. age - 1 use.
654. wouldve - 1 use.
655. seen - 1 use.
656. understand - 1 use.
657. leaving - 1 use.
658. scary - 1 use.
659. closer - 1 use.
660. wed - 1 use.
661. anyway - 1 use.
662. cared - 1 use.
663. wavelengths - 1 use.
664. phone - 1 use.
665. ignore - 1 use.
666. calls - 1 use.
667. interested - 1 use.
668. clear - 1 use.
669. gotta - 1 use.
670. needy - 1 use.
671. missing - 1 use.
672. affection - 1 use.
673. cuts - 1 use.
674. heal - 1 use.
675. searching - 1 use.
676. trouble - 1 use.
677. sleepin - 1 use.
678. meant - 1 use.
679. apologize - 1 use.
680. deleted - 1 use.
681. messages - 1 use.
682. wasted - 1 use.
683. shot - 1 use.
684. pushin - 1 use.
685. knowing - 1 use.
686. liked - 1 use.
687. picture - 1 use.
688. misses - 1 use.
689. hitting - 1 use.
690. finally - 1 use.
691. replacement - 1 use.
692. fakes - 1 use.
693. fun - 1 use.
694. traits - 1 use.
695. unappealing - 1 use.
696. first - 1 use.
697. conversation - 1 use.
698. equation - 1 use.
699. janes - 1 use.
700. standards - 1 use.
701. showing - 1 use.
702. television - 1 use.
703. competition - 1 use.
704. niggas - 1 use.
705. interest - 1 use.
706. lil - 1 use.
707. ho - 1 use.
708. missin - 1 use.
709. dips - 1 use.
710. curves - 1 use.
711. ha-ha - 1 use.
712. bird - 1 use.
713. curve - 1 use.
714. gon - 1 use.
715. learn - 1 use.
716. ex - 1 use.
717. deserve - 1 use.
718. dms - 1 use.
719. nerve - 1 use.
720. absurd - 1 use.
721. whatchu - 1 use.
722. smokin - 1 use.
723. replaceable - 1 use.
724. onto - 1 use.
725. thankin - 1 use.
726. burstin - 1 use.
727. everytime - 1 use.
728. poppin - 1 use.
729. upgraded - 1 use.
730. opposite - 1 use.
731. flo - 1 use.
732. milli - 1 use.
733. explodes - 1 use.
734. controlled - 1 use.
735. turn - 1 use.
736. lungs - 1 use.
737. cannot - 1 use.
738. anything - 1 use.
739. sayin - 1 use.
740. somethin - 1 use.
741. mouths - 1 use.
742. stuffed - 1 use.
743. rollercoaster - 1 use.
744. mission - 1 use.
745. adventure - 1 use.
746. encounter - 1 use.
747. journey - 1 use.
748. mars - 1 use.
749. spacegirl - 1 use.
750. bones - 1 use.
751. sip - 1 use.
752. potion - 1 use.
753. hair - 1 use.
754. explode - 1 use.
755. poisoned - 1 use.
756. turns - 1 use.
757. flower - 1 use.
758. asks - 1 use.
759. alright - 1 use.
760. corner - 1 use.
761. plutos - 1 use.
762. looking - 1 use.
763. skies - 1 use.
764. hopin - 1 use.
765. arrive - 1 use.
766. bodys - 1 use.
767. metal - 1 use.
768. hearts - 1 use.
769. human - 1 use.
770. foolish - 1 use.
771. type - 1 use.
772. refuse - 1 use.
773. best - 1 use.
774. rest - 1 use.
775. jack - 1 use.
776. minds - 1 use.
777. twisted - 1 use.
778. weird - 1 use.
779. race - 1 use.
780. against - 1 use.
781. sunlight - 1 use.
782. spotlight - 1 use.
783. name - 1 use.
784. echoing - 1 use.
785. opened - 1 use.
786. pointless - 1 use.
787. trapped - 1 use.
788. soon - 1 use.
789. sand - 1 use.
790. everywhere - 1 use.
791. feet - 1 use.
792. second - 1 use.
793. dewy - 1 use.
794. mist - 1 use.
795. cools - 1 use.
796. lips - 1 use.
797. jumpers - 1 use.
798. tree - 1 use.
799. leaves - 1 use.
800. peacefully - 1 use.
801. shoot - 1 use.
802. waves - 1 use.
803. curtains - 1 use.
804. bliss - 1 use.
805. surrounds - 1 use.
806. join - 1 use.
807. great - 1 use.
808. park - 1 use.
809. moon - 1 use.
810. path - 1 use.
811. everythings - 1 use.
812. passing - 1 use.
813. bike - 1 use.
814. top - 1 use.
815. street - 1 use.
816. lots - 1 use.
817. piece - 1 use.
818. ev-ev-ev-ev-ev-ev - 1 use.
819. follow - 1 use.
820. rabbit - 1 use.
821. huh - 1 use.
822. belly - 1 use.
823. underworld - 1 use.
824. east - 1 use.
825. until - 1 use.
826. dawn - 1 use.
827. song - 1 use.
828. shall - 1 use.
829. satisfied - 1 use.
830. spoken - 1 use.
831. smoking - 1 use.
832. glowing - 1 use.
833. angel - 1 use.
834. confidence - 1 use.
835. strike - 1 use.
836. dip - 1 use.
837. float - 1 use.
838. steeze - 1 use.
839. wear - 1 use.
840. mesmerised - 1 use.
841. exist - 1 use.
842. themselves - 1 use.
843. spell - 1 use.
844. talkin - 1 use.
845. message - 1 use.
846. predict - 1 use.
847. annoy - 1 use.
848. pale - 1 use.
849. boys - 1 use.
850. ache - 1 use.
851. addicted - 1 use.
852. sadness - 1 use.
853. resignation - 1 use.
854. admit - 1 use.
855. glad - 1 use.
856. times - 1 use.
857. screwed - 1 use.
858. believing - 1 use.
859. done - 1 use.
860. reading - 1 use.
861. wouldnt - 1 use.
862. hung - 1 use.
863. poking - 1 use.
864. pick - 1 use.
865. sent - 1 use.
866. letter - 1 use.
867. melted - 1 use.
868. surround - 1 use.
869. weak - 1 use.
870. staring - 1 use.
871. silence - 1 use.
872. bedtime - 1 use.
873. story - 1 use.
874. breathe - 1 use.
875. dream - 1 use.
876. run - 1 use.
877. scream - 1 use.
878. collecting - 1 use.
879. teeth - 1 use.
880. front - 1 use.
881. page - 1 use.
882. swear - 1 use.
883. nightmare - 1 use.
884. creature - 1 use.
885. shared - 1 use.
886. single - 1 use.
887. rope - 1 use.
888. afloat - 1 use.
889. treasure - 1 use.
890. blew - 1 use.
891. tied - 1 use.
892. reeled - 1 use.
893. caught - 1 use.
894. sails - 1 use.
895. pulled - 1 use.
896. raft - 1 use.
897. drifted - 1 use.
898. putting - 1 use.
899. rocks - 1 use.
900. plans - 1 use.
901. built - 1 use.
902. boat - 1 use.
903. chose - 1 use.
904. move - 1 use.
905. fast - 1 use.
906. washed - 1 use.
907. oven - 1 use.
908. almost - 1 use.
909. somethings - 1 use.
910. crossing - 1 use.
911. fingers - 1 use.
912. flicking - 1 use.
913. switches - 1 use.
914. filled - 1 use.
915. witches - 1 use.
916. unwind - 1 use.
917. gun - 1 use.
918. facing - 1 use.
919. mistaken - 1 use.
920. inject - 1 use.
921. poison - 1 use.
922. shuts - 1 use.
923. plan - 1 use.
924. hooded - 1 use.
925. waiting - 1 use.
926. began - 1 use.
927. third - 1 use.
928. rise - 1 use.
929. limping - 1 use.
930. zombie - 1 use.
931. planning - 1 use.
