Most used words by  Samia: 
Number of songs scanned: 30

1013. pool - 1 uses.
1014. guests - 1 uses.
1015. especially - 1 uses.
1016. test - 1 uses.
1017. matter - 1 uses.
1018. bodys - 1 uses.
1019. housing - 1 uses.
1020. confounded - 1 uses.
1021. poetry - 1 uses.
1022. sick - 1 uses.
1023. bluffin - 1 uses.
1024. finally - 1 uses.
1025. published - 1 uses.
1026. drinking - 1 uses.
1027. mezcal - 1 uses.
1028. bar - 1 uses.
1029. chase - 1 uses.
1030. fatigue - 1 uses.
1031. fondly - 1 uses.
1032. bathed - 1 uses.
1033. grease - 1 uses.
1034. mcdonalds - 1 uses.
1035. jump - 1 uses.
1036. pier - 1 uses.
1037. seaport - 1 uses.
1038. pondering - 1 uses.
1039. whether - 1 uses.
1040. overhead - 1 uses.
1041. lucky - 1 uses.
1042. namesake - 1 uses.
1043. alien - 1 uses.
1044. lung - 1 uses.
1045. cedar - 1 uses.
1046. tree - 1 uses.
1047. bent - 1 uses.
1048. 45 - 1 uses.
1049. degrees - 1 uses.
1050. shouting - 1 uses.
1051. sweet - 1 uses.
1052. tender - 1 uses.
1053. damage - 1 uses.
1054. nobodys - 1 uses.
1055. killed - 1 uses.
1056. dear - 1 uses.
1057. spilled - 1 uses.
1058. plug - 1 uses.
1059. spirit - 1 uses.
1060. ascends - 1 uses.
1061. singing - 1 uses.
1062. seeing - 1 uses.
1063. far - 1 uses.
1064. synthesize - 1 uses.
1065. dignified - 1 uses.
1066. voguin - 1 uses.
1067. confide - 1 uses.
1068. reside - 1 uses.
1069. sign - 1 uses.
1070. trouble - 1 uses.
1071. fillin - 1 uses.
1072. jealousy - 1 uses.
1073. killin - 1 uses.
1074. willingly - 1 uses.
1075. hang - 1 uses.
1076. harden - 1 uses.
1077. sharpen - 1 uses.
1078. smart - 1 uses.
1079. double - 1 uses.
1080. ah - 1 uses.
1081. banshee - 1 uses.
1082. script - 1 uses.
1083. alike - 1 uses.
1084. yesterday - 1 uses.
1085. ago - 1 uses.
1086. looked - 1 uses.
1087. lied - 1 uses.
1088. common - 1 uses.
1089. doing - 1 uses.
1090. shoes - 1 uses.
1091. tokyo - 1 uses.
1092. smell - 1 uses.
1093. least - 1 uses.
1094. somewhere - 1 uses.
1095. smarter - 1 uses.
1096. free - 1 uses.
1097. mans - 1 uses.
1098. odyssey - 1 uses.
1099. blow - 1 uses.
1100. empathetic - 1 uses.
1101. understand - 1 uses.
1102. dude - 1 uses.
