Most used words by Porches: 
Number of songs scanned: 71

710. mommy - 1 use.
711. painting - 1 use.
712. santa - 1 use.
713. fe - 1 use.
714. roughed - 1 use.
715. copper - 1 use.
716. wrist-knocker - 1 use.
717. teenager - 1 use.
718. next - 1 use.
719. ash - 1 use.
720. tray - 1 use.
721. grand - 1 use.
722. piano - 1 use.
723. nostrils - 1 use.
724. flared - 1 use.
725. misbehaved - 1 use.
726. david - 1 use.
727. played - 1 use.
728. silent - 1 use.
729. fugue - 1 use.
730. ears - 1 use.
731. stuffed - 1 use.
732. flowers - 1 use.
733. joejoe - 1 use.
734. cruised - 1 use.
735. duncan - 1 use.
736. stirred - 1 use.
737. m - 1 use.
738. g - 1 use.
739. swelling - 1 use.
740. pilllooowwwlllly - 1 use.
741. daddy - 1 use.
742. 2317 - 1 use.
743. arent - 1 use.
744. everywhere - 1 use.
745. smells - 1 use.
746. wished - 1 use.
747. wasnt - 1 use.
748. wishing - 1 use.
749. hole - 1 use.
750. coffee - 1 use.
751. four - 1 use.
752. letter - 1 use.
753. climb - 1 use.
754. stem - 1 use.
755. favorite - 1 use.
756. person - 1 use.
757. ditz - 1 use.
758. expect - 1 use.
759. intimate - 1 use.
760. dead - 1 use.
761. meat - 1 use.
762. clinging - 1 use.
763. flung - 1 use.
764. splitting - 1 use.
765. sharp - 1 use.
766. ruthless - 1 use.
767. stark - 1 use.
768. grow - 1 use.
769. simply - 1 use.
770. permanent - 1 use.
771. loan - 1 use.
772. address - 1 use.
773. such - 1 use.
774. stiff - 1 use.
775. ker- - 1 use.
776. kerosene - 1 use.
777. musk - 1 use.
778. becomes - 1 use.
779. overdone - 1 use.
780. paint - 1 use.
781. ships - 1 use.
782. cracks - 1 use.
783. own - 1 use.
784. waves - 1 use.
785. balls - 1 use.
786. mermaids - 1 use.
787. captains - 1 use.
788. resting - 1 use.
789. dried - 1 use.
790. uncertainly - 1 use.
791. smitten - 1 use.
792. alrighty - 1 use.
793. pride - 1 use.
794. faster - 1 use.
795. tallboy - 1 use.
796. spend - 1 use.
797. leaves - 1 use.
798. pages - 1 use.
799. lower - 1 use.
800. delivers - 1 use.
801. common - 1 use.
802. scent - 1 use.
803. gold - 1 use.
804. slowly - 1 use.
805. waiting - 1 use.
806. red - 1 use.
807. clutch - 1 use.
808. farm - 1 use.
809. waters - 1 use.
810. picture - 1 use.
811. weve - 1 use.
812. chin - 1 use.
813. warmth - 1 use.
814. beating - 1 use.
815. weak - 1 use.
816. sunken - 1 use.
817. hill - 1 use.
818. help - 1 use.
819. noticing - 1 use.
820. bar - 1 use.
821. hello - 1 use.
822. ronnie - 1 use.
823. edith - 1 use.
824. mess - 1 use.
825. undress - 1 use.
826. rest - 1 use.
827. dim - 1 use.
828. wit - 1 use.
829. greatness - 1 use.
830. layed - 1 use.
