Most used words by Phoenix: 
Number of songs scanned: 57

1107. starting - 1 use.
1108. deeper - 1 use.
1109. state - 1 use.
1110. disaster - 1 use.
1111. scenario - 1 use.
1112. melted - 1 use.
1113. gelato - 1 use.
1114. jukebox - 1 use.
1115. prosecco - 1 use.
1116. classics - 1 use.
1117. buzzcocks - 1 use.
1118. battiato - 1 use.
1119. lucio - 1 use.
1120. bonanza - 1 use.
1121. che - 1 use.
1122. bello - 1 use.
1123. festival - 1 use.
1124. sanremo - 1 use.
1125. cop - 1 use.
1126. sunbathing - 1 use.
1127. rio - 1 use.
1128. switching - 1 use.
1129. unsophisticated - 1 use.
1130. soft - 1 use.
1131. rock - 1 use.
1132. beethovens - 1 use.
1133. concerto - 1 use.
1134. ça - 1 use.
1135. y - 1 use.
1136. cest - 1 use.
1137. fini - 1 use.
