Most used words by Drake: 
Number of songs scanned: 365

1019. pretend - 14 uses.
1020. anyone - 14 uses.
1021. stone - 14 uses.
1022. leavin - 14 uses.
1023. names - 14 uses.
1024. grow - 14 uses.
1025. learned - 14 uses.
1026. plastic - 14 uses.
1027. bentley - 14 uses.
1028. sleepin - 14 uses.
1029. promised - 14 uses.
1030. squad - 14 uses.
1031. plenty - 14 uses.
1032. owe - 14 uses.
1033. showed - 14 uses.
1034. somehow - 14 uses.
1035. dudes - 14 uses.
1036. dude - 14 uses.
1037. dancing - 14 uses.
1038. rode - 14 uses.
1039. suppose - 14 uses.
1040. pants - 13 uses.
1041. quit - 13 uses.
1042. dawg - 13 uses.
1043. small - 13 uses.
1044. ceiling - 13 uses.
1045. booth - 13 uses.
1046. finish - 13 uses.
1047. puttin - 13 uses.
1048. swag - 13 uses.
1049. feet - 13 uses.
1050. unruly - 13 uses.
1051. machine - 13 uses.
1052. phones - 13 uses.
1053. short - 13 uses.
1054. energy - 13 uses.
1055. cell - 13 uses.
1056. wants - 13 uses.
1057. demons - 13 uses.
1058. wit - 13 uses.
1059. takes - 13 uses.
1060. west - 13 uses.
1061. cameras - 13 uses.
1062. metro - 13 uses.
1063. label - 13 uses.
1064. sudden - 13 uses.
1065. angel - 13 uses.
1066. mill - 13 uses.
1067. personal - 13 uses.
1068. shift - 13 uses.
1069. b - 13 uses.
1070. pocket - 13 uses.
1071. verse - 13 uses.
1072. focused - 13 uses.
1073. cook - 13 uses.
1074. official - 13 uses.
1075. seeing - 13 uses.
1076. taste - 13 uses.
1077. box - 13 uses.
1078. rough - 13 uses.
1079. losin - 13 uses.
1080. voice - 13 uses.
1081. naked - 13 uses.
1082. moneys - 13 uses.
1083. bend - 13 uses.
1084. weekend - 13 uses.
1085. boo - 13 uses.
1086. list - 13 uses.
1087. fair - 13 uses.
1088. mo - 13 uses.
1089. york - 13 uses.
1090. month - 13 uses.
1091. beef - 13 uses.
1092. beside - 13 uses.
1093. trade - 13 uses.
1094. chasin - 13 uses.
1095. date - 13 uses.
1096. follow - 13 uses.
1097. 100 - 13 uses.
1098. raised - 13 uses.
1099. parties - 13 uses.
1100. mustve - 13 uses.
1101. mix - 13 uses.
1102. hardly - 13 uses.
1103. reppin - 13 uses.
1104. fade - 13 uses.
1105. dos - 13 uses.
1106. worlds - 13 uses.
1107. decide - 12 uses.
1108. forgot - 12 uses.
1109. favor - 12 uses.
1110. spending - 12 uses.
1111. hollywood - 12 uses.
1112. hearing - 12 uses.
1113. views - 12 uses.
1114. swim - 12 uses.
1115. language - 12 uses.
1116. simple - 12 uses.
1117. attached - 12 uses.
1118. madness - 12 uses.
1119. catfish - 12 uses.
1120. land - 12 uses.
1121. rose - 12 uses.
1122. uncle - 12 uses.
1123. issues - 12 uses.
1124. reach - 12 uses.
1125. callin - 12 uses.
1126. tongue - 12 uses.
1127. gas - 12 uses.
1128. others - 12 uses.
1129. north - 12 uses.
1130. taken - 12 uses.
1131. rush - 12 uses.
1132. granted - 12 uses.
1133. giving - 12 uses.
1134. atlanta - 12 uses.
1135. person - 12 uses.
1136. secret - 12 uses.
1137. ridin - 12 uses.
1138. snow - 12 uses.
1139. 10 - 12 uses.
1140. middle - 12 uses.
1141. meaning - 12 uses.
