Most used words by MUNA: 
Number of songs scanned: 37

879. grand - 1 use.
880. signed - 1 use.
881. invested - 1 use.
882. pay - 1 use.
883. truly - 1 use.
884. bite - 1 use.
885. tongue - 1 use.
886. looks - 1 use.
887. different - 1 use.
888. bide - 1 use.
889. hoping - 1 use.
890. fix - 1 use.
891. goes - 1 use.
892. instincts - 1 use.
893. super - 1 use.
894. sure - 1 use.
895. deserving - 1 use.
896. rover - 1 use.
897. while - 1 use.
898. weirdo - 1 use.
899. though - 1 use.
900. unfurls - 1 use.
901. sick - 1 use.
902. childish - 1 use.
903. ready - 1 use.
904. repeat - 1 use.
905. party - 1 use.
906. games - 1 use.
907. bluff - 1 use.
908. bee - 1 use.
909. sting - 1 use.
910. crawling - 1 use.
911. leg - 1 use.
912. car - 1 use.
913. healed - 1 use.
914. quite - 1 use.
915. scar - 1 use.
916. remind - 1 use.
917. forget - 1 use.
918. softly - 1 use.
919. reckless - 1 use.
