Most used words by Nirvana: 
Number of songs scanned: 131

806. thank - 3 uses.
807. best - 3 uses.
808. leadbellys - 3 uses.
809. pet - 3 uses.
810. somebody - 3 uses.
811. chains - 3 uses.
812. um - 3 uses.
813. sheared - 3 uses.
814. christmas - 3 uses.
815. gray - 3 uses.
816. turned - 3 uses.
817. cab - 3 uses.
818. suitcase - 3 uses.
819. pocket - 3 uses.
820. heavy - 3 uses.
821. leg - 3 uses.
822. table - 3 uses.
823. cents - 3 uses.
824. unless - 3 uses.
825. sat - 3 uses.
826. junk - 3 uses.
827. dropper - 3 uses.
828. eighteen - 3 uses.
829. spoke - 3 uses.
830. understand - 3 uses.
831. pass - 3 uses.
832. forth - 3 uses.
833. passionate - 3 uses.
834. apple - 3 uses.
835. bastard - 3 uses.
836. master - 3 uses.
837. control - 3 uses.
838. goodbye - 3 uses.
839. starfish - 3 uses.
840. phrase - 3 uses.
841. lazy - 3 uses.
842. worth - 3 uses.
843. mumblin - 3 uses.
844. bit - 3 uses.
845. fry - 3 uses.
846. til - 3 uses.
847. fourth - 3 uses.
848. july - 3 uses.
849. steak - 3 uses.
850. test - 3 uses.
851. suicide - 3 uses.
852. eyesight - 3 uses.
853. iron - 3 uses.
854. and/or - 3 uses.
855. eats - 3 uses.
856. bout - 3 uses.
857. dangerous - 3 uses.
858. arrow - 3 uses.
859. anti-social - 3 uses.
860. tobi - 3 uses.
861. whoa - 3 uses.
862. hurry - 2 uses.
863. choice - 2 uses.
864. doused - 2 uses.
865. mud - 2 uses.
866. soaked - 2 uses.
867. bleach - 2 uses.
868. scratched - 2 uses.
869. bled - 2 uses.
870. finest - 2 uses.
871. command - 2 uses.
872. brother - 2 uses.
873. quote - 2 uses.
874. blackmailed - 2 uses.
875. forgot - 2 uses.
876. code - 2 uses.
877. memory - 2 uses.
878. stored - 2 uses.
879. defense - 2 uses.
880. neutered - 2 uses.
881. trying - 2 uses.
882. unclear - 2 uses.
883. lines - 2 uses.
884. number - 2 uses.
885. together - 2 uses.
886. woman - 2 uses.
887. uh - 2 uses.
888. relieving - 2 uses.
889. relaxing - 2 uses.
890. asking - 2 uses.
891. sue - 2 uses.
892. destroy - 2 uses.
893. invasion - 2 uses.
894. piracy - 2 uses.
895. afterbirth - 2 uses.
896. nation - 2 uses.
897. starve - 2 uses.
898. skeleton - 2 uses.
899. key - 2 uses.
900. acneed - 2 uses.
901. excited - 2 uses.
902. horny - 2 uses.
903. equipment - 2 uses.
904. b-flat - 2 uses.
905. explain - 2 uses.
906. bend - 2 uses.
907. shape - 2 uses.
908. spank - 2 uses.
909. masturbate - 2 uses.
910. fool - 2 uses.
911. particularly - 2 uses.
912. enjoyed - 2 uses.
913. circumference - 2 uses.
914. sucking - 2 uses.
915. anus - 2 uses.
916. anilingus - 2 uses.
917. prefer - 2 uses.
918. preferred - 2 uses.
919. scentless - 2 uses.
920. quit - 2 uses.
921. proven - 2 uses.
922. flight - 2 uses.
923. greed - 2 uses.
924. crease - 2 uses.
925. infold - 2 uses.
926. ego - 2 uses.
927. thesis - 2 uses.
928. storyline - 2 uses.
929. mood - 2 uses.
930. attitude - 2 uses.
931. practicing - 2 uses.
932. perfecting - 2 uses.
933. pressuring - 2 uses.
934. nasty - 2 uses.
935. guest - 2 uses.
936. weight - 2 uses.
937. owe - 2 uses.
938. source - 2 uses.
939. falling - 2 uses.
940. hm-hmm - 2 uses.
941. husband - 2 uses.
942. driving - 2 uses.
943. wheel - 2 uses.
944. service - 2 uses.
945. nervous - 2 uses.
946. doubt - 2 uses.
947. hmmm - 2 uses.
948. flew - 2 uses.
949. moan - 2 uses.
950. hollow - 2 uses.
951. imposters - 2 uses.
952. sickening - 2 uses.
953. pessimist - 2 uses.
954. complex - 2 uses.
955. picked - 2 uses.
956. plateau - 2 uses.
957. hands - 2 uses.
958. bucket - 2 uses.
959. illustrated - 2 uses.
960. needs - 2 uses.
961. action - 2 uses.
962. those - 2 uses.
963. crude - 2 uses.
964. grew - 2 uses.
965. instead - 2 uses.
966. dog - 2 uses.
967. silence - 2 uses.
968. rose - 2 uses.
969. meaning - 2 uses.
970. fan - 2 uses.
971. brand - 2 uses.
972. yesterday - 2 uses.
973. upon - 2 uses.
974. stage - 2 uses.
975. packaged - 2 uses.
976. properly - 2 uses.
977. imitate - 2 uses.
978. format - 2 uses.
979. equally - 2 uses.
980. ode - 2 uses.
981. facts - 2 uses.
982. nowadays - 2 uses.
983. idea - 2 uses.
984. jail - 2 uses.
985. touch - 2 uses.
986. results - 2 uses.
987. perfect - 2 uses.
988. sprinkled - 2 uses.
989. invented - 2 uses.
990. birth - 2 uses.
991. expanse - 2 uses.
992. store - 2 uses.
993. chippin - 2 uses.
994. leader - 2 uses.
995. weather - 2 uses.
996. arm - 2 uses.
997. whore - 2 uses.
998. posture - 2 uses.
999. leonard - 2 uses.
1000. cohen - 2 uses.
1001. afterworld - 2 uses.
1002. eternally - 2 uses.
1003. tired - 2 uses.
1004. thief - 2 uses.
1005. laxatives - 2 uses.
1006. cherry-flavored - 2 uses.
1007. antacids - 2 uses.
1008. inch - 2 uses.
1009. faded - 2 uses.
1010. ene - 2 uses.
1011. ears - 2 uses.
1012. rang - 2 uses.
1013. goddess - 2 uses.
1014. screw - 2 uses.
1015. feeding - 2 uses.
1016. push - 2 uses.
1017. due - 2 uses.
1018. point - 2 uses.
1019. scent - 2 uses.
1020. ape - 2 uses.
1021. dick - 2 uses.
1022. reminds - 2 uses.
1023. covered - 2 uses.
1024. insecurity - 2 uses.
1025. smother - 2 uses.
1026. trading - 2 uses.
1027. regret - 2 uses.
1028. learn - 2 uses.
1029. share - 2 uses.
1030. im— - 2 uses.
1031. kicked - 2 uses.
1032. crying - 2 uses.
1033. cream - 2 uses.
1034. fell - 2 uses.
1035. watched - 2 uses.
1036. woke - 2 uses.
1037. mothers - 2 uses.
1038. arms - 2 uses.
1039. plead - 2 uses.
1040. fruit - 2 uses.
1041. taken - 2 uses.
1042. feelin - 2 uses.
1043. pisces - 2 uses.
1044. locked - 2 uses.
1045. heart-shaped - 2 uses.
1046. drawn - 2 uses.
1047. magnet - 2 uses.
1048. tar - 2 uses.
1049. pit - 2 uses.
1050. cancer - 2 uses.
1051. yet - 2 uses.
1052. hair - 2 uses.
1053. noose - 2 uses.
1054. injection - 2 uses.
1055. pee - 2 uses.
1056. toilet - 2 uses.
1057. fleas - 2 uses.
1058. dance - 2 uses.
1059. easily - 2 uses.
1060. amused - 2 uses.
1061. nest - 2 uses.
1062. salt - 2 uses.
1063. fault - 2 uses.
1064. aqua - 2 uses.
1065. seafoam - 2 uses.
1066. sunburn - 2 uses.
1067. choking - 2 uses.
1068. sea - 2 uses.
1069. afford - 2 uses.
1070. view - 2 uses.
1071. pray - 2 uses.
1072. clothes - 2 uses.
1073. trouble - 2 uses.
1074. ya - 2 uses.
1075. ordered - 2 uses.
1076. humna - 2 uses.
1077. wasted - 2 uses.
1078. though - 2 uses.
1079. mellow - 2 uses.
1080. deceive - 2 uses.
1081. fill - 2 uses.
1082. vision - 2 uses.
1083. indecision - 2 uses.
1084. mighty - 2 uses.
1085. wisdom - 2 uses.
1086. question - 2 uses.
1087. questions - 2 uses.
1088. lead - 2 uses.
1089. poop - 2 uses.
1090. seal - 2 uses.
1091. hesitate - 2 uses.
1092. busy - 2 uses.
1093. acting - 2 uses.
1094. naïve - 2 uses.
1095. bother - 2 uses.
1096. swell - 2 uses.
1097. failed - 2 uses.
1098. fail - 2 uses.
1099. sides - 2 uses.
1100. admittance - 2 uses.
1101. beginning - 2 uses.
1102. double-sided - 2 uses.
1103. cynics - 2 uses.
1104. reflected - 2 uses.
1105. selfish - 2 uses.
1106. remained - 2 uses.
1107. seclusion - 2 uses.
1108. days - 2 uses.
1109. styles - 2 uses.
1110. heresy - 2 uses.
1111. finally - 2 uses.
1112. appeared - 2 uses.
1113. unexpectedly - 2 uses.
1114. company - 2 uses.
1115. performer - 2 uses.
1116. basket - 2 uses.
1117. guitar - 2 uses.
1118. flow - 2 uses.
1119. five - 2 uses.
1120. meal - 2 uses.
1121. my— - 2 uses.
1122. used - 2 uses.
1123. helped - 2 uses.
1124. remember - 2 uses.
1125. g-i-t - 2 uses.
