Most used words by Creeper: 
Number of songs scanned: 55

549. deceived - 2 uses.
550. creep - 2 uses.
551. tragedy - 2 uses.
552. top - 2 uses.
553. pit - 2 uses.
554. “do - 2 uses.
555. home” - 2 uses.
556. grieve - 2 uses.
557. disintegrate - 2 uses.
558. purple - 2 uses.
559. died - 2 uses.
560. swell - 2 uses.
561. speaks - 2 uses.
562. lonely - 2 uses.
563. point - 2 uses.
564. pretending - 2 uses.
565. lace - 2 uses.
566. hit - 2 uses.
567. sat - 2 uses.
568. 3 - 2 uses.
569. broken - 2 uses.
570. cloud - 2 uses.
571. knife - 2 uses.
572. theyll - 2 uses.
573. storm - 2 uses.
574. gates - 2 uses.
575. underworld - 2 uses.
576. looking - 2 uses.
577. upwards - 2 uses.
578. dancing - 2 uses.
579. sway - 2 uses.
580. couple - 2 uses.
581. smoking - 2 uses.
582. best - 2 uses.
583. lipstick - 2 uses.
584. secrets - 2 uses.
585. careful - 2 uses.
586. longer - 2 uses.
587. knew - 2 uses.
588. gaze - 2 uses.
589. mourn - 2 uses.
590. fault - 2 uses.
591. garden - 2 uses.
592. grew - 2 uses.
593. infinite - 2 uses.
594. teardrops - 2 uses.
595. hears - 2 uses.
596. warmest - 2 uses.
597. yourself - 2 uses.
598. froze - 2 uses.
599. swung - 2 uses.
600. sung - 2 uses.
601. sore - 2 uses.
602. diary - 2 uses.
603. entry - 2 uses.
604. listing - 2 uses.
605. pieces - 2 uses.
606. hospital - 2 uses.
607. boyfriend - 2 uses.
608. landscaped - 2 uses.
609. shrubs - 2 uses.
610. rusted - 2 uses.
611. iron - 2 uses.
612. gate - 2 uses.
613. siege - 2 uses.
614. speak - 2 uses.
615. rem - 2 uses.
616. any - 2 uses.
617. across - 2 uses.
618. phantom - 2 uses.
619. funeral - 2 uses.
620. distance - 2 uses.
621. phase - 2 uses.
622. forgettable - 2 uses.
623. chorus - 2 uses.
624. friend - 2 uses.
625. drinks - 2 uses.
626. pretend - 2 uses.
627. ends - 2 uses.
628. blacker - 2 uses.
629. lord - 2 uses.
630. hangs - 2 uses.
631. gallows - 2 uses.
632. silence - 2 uses.
633. despair - 2 uses.
634. calling - 2 uses.
635. candles - 2 uses.
636. burning - 2 uses.
637. prettiest - 2 uses.
638. flirt - 2 uses.
639. vanish - 2 uses.
640. descend - 2 uses.
641. smoked - 2 uses.
642. waning - 2 uses.
643. foot - 2 uses.
644. shot - 2 uses.
645. clipping - 2 uses.
646. cupids - 2 uses.
647. wings - 2 uses.
648. heartlessly - 2 uses.
649. hope - 2 uses.
650. miss - 2 uses.
651. older - 2 uses.
652. hard - 2 uses.
653. till - 2 uses.
654. weight - 2 uses.
655. train - 2 uses.
656. fathers - 2 uses.
657. mary - 2 uses.
658. turn - 2 uses.
659. conversation - 2 uses.
660. becomes - 2 uses.
661. king - 2 uses.
662. forgotten - 2 uses.
663. sex - 2 uses.
664. taught - 2 uses.
665. avoid - 2 uses.
666. watched - 2 uses.
667. drift - 2 uses.
668. reality - 2 uses.
669. rent - 2 uses.
670. chipped - 2 uses.
671. paint - 2 uses.
672. fabric - 2 uses.
673. coat - 2 uses.
674. hardest - 2 uses.
675. harder - 2 uses.
676. shine - 2 uses.
677. types - 2 uses.
678. people - 2 uses.
679. believe - 2 uses.
680. n - 2 uses.
681. music - 2 uses.
682. mortal - 2 uses.
683. heads - 2 uses.
684. cigarette - 2 uses.
685. nosebleed - 2 uses.
686. aniseed - 2 uses.
687. drain - 2 uses.
688. streets - 2 uses.
689. eternity - 2 uses.
690. wrap - 2 uses.
691. chainmail - 2 uses.
692. echoes - 2 uses.
693. waste - 2 uses.
694. most - 2 uses.
695. journey - 2 uses.
696. build - 2 uses.
697. fix - 2 uses.
698. wild - 2 uses.
699. spoke - 2 uses.
700. spirit - 2 uses.
701. descends - 2 uses.
702. fields - 2 uses.
703. gods - 2 uses.
704. anabelle - 2 uses.
705. bring - 2 uses.
706. constantly - 2 uses.
707. smoke - 2 uses.
708. tear - 2 uses.
709. hallelujah - 2 uses.
710. colder - 2 uses.
711. tight - 2 uses.
712. final - 2 uses.
713. dive - 2 uses.
714. six - 2 uses.
715. deep - 2 uses.
716. early - 2 uses.
717. cmon - 2 uses.
718. sheets - 2 uses.
719. wasting - 2 uses.
720. fate - 2 uses.
721. slowly - 2 uses.
722. gazed - 2 uses.
723. bind - 2 uses.
724. send - 2 uses.
725. clarity - 2 uses.
726. commiserating - 2 uses.
727. embracing - 2 uses.
728. dies - 2 uses.
729. deeds - 2 uses.
730. carols - 2 uses.
731. america - 2 uses.
732. golden - 2 uses.
733. mirror - 1 use.
734. summoning - 1 use.
735. nearer - 1 use.
736. scratches - 1 use.
737. stall - 1 use.
738. melancholy - 1 use.
739. morose - 1 use.
740. arriving - 1 use.
741. unexpectedly - 1 use.
742. threats - 1 use.
743. post - 1 use.
744. shade - 1 use.
745. dim - 1 use.
746. son - 1 use.
747. trinity - 1 use.
748. single - 1 use.
749. field - 1 use.
750. dusk - 1 use.
751. convicted - 1 use.
752. felons - 1 use.
753. already - 1 use.
754. stood - 1 use.
755. militia - 1 use.
756. mightve - 1 use.
757. caught - 1 use.
758. pageantry - 1 use.
759. resurrection - 1 use.
760. voice - 1 use.
761. american - 1 use.
762. noir - 1 use.
763. played - 1 use.
764. friday - 1 use.
765. shopping - 1 use.
766. centres - 1 use.
767. pulled - 1 use.
768. lapses - 1 use.
769. collapses - 1 use.
770. drop - 1 use.
771. mark - 1 use.
772. awkward - 1 use.
773. nightly - 1 use.
