Most used words by Watsky: 
Number of songs scanned: 117

665. limit - 7 uses.
666. track - 7 uses.
667. whoa - 7 uses.
668. sure - 7 uses.
669. lead - 7 uses.
670. burning - 7 uses.
671. comfort - 7 uses.
672. jesus - 7 uses.
673. ghost - 7 uses.
674. hitting - 7 uses.
675. respect - 7 uses.
676. smiling - 7 uses.
677. blunt - 7 uses.
678. clock - 7 uses.
679. popping - 7 uses.
680. comes - 7 uses.
681. himself - 7 uses.
682. card - 7 uses.
683. press - 7 uses.
684. steady - 7 uses.
685. itd - 7 uses.
686. alive - 7 uses.
687. scream - 7 uses.
688. whisper - 7 uses.
689. leaving - 7 uses.
690. anyone - 7 uses.
691. lock - 7 uses.
692. listen - 7 uses.
693. rocking - 7 uses.
694. watching - 7 uses.
695. spun - 7 uses.
696. wrote - 7 uses.
697. three - 7 uses.
698. king - 7 uses.
699. beer - 7 uses.
700. holes - 7 uses.
701. dust - 7 uses.
702. split - 7 uses.
703. strength - 7 uses.
704. moon - 7 uses.
705. sing - 7 uses.
706. history - 7 uses.
707. bunch - 7 uses.
708. wake - 7 uses.
709. along - 7 uses.
710. crave - 7 uses.
711. moral - 7 uses.
712. meow - 7 uses.
713. honestly - 6 uses.
714. blame - 6 uses.
715. remind - 6 uses.
716. ugly - 6 uses.
717. shouldnt - 6 uses.
718. battle - 6 uses.
719. wear - 6 uses.
720. liked - 6 uses.
721. rapper - 6 uses.
722. spinning - 6 uses.
723. else - 6 uses.
724. universe - 6 uses.
725. wrap - 6 uses.
726. yell - 6 uses.
727. forever - 6 uses.
728. forget - 6 uses.
729. falls - 6 uses.
730. spot - 6 uses.
731. fool - 6 uses.
732. click - 6 uses.
733. death - 6 uses.
734. thinks - 6 uses.
735. trash - 6 uses.
736. soft - 6 uses.
737. fantasy - 6 uses.
738. memory - 6 uses.
739. country - 6 uses.
740. seem - 6 uses.
741. fresh - 6 uses.
742. pocket - 6 uses.
743. pair - 6 uses.
744. human - 6 uses.
745. sounds - 6 uses.
746. drag - 6 uses.
747. box - 6 uses.
748. having - 6 uses.
749. shake - 6 uses.
750. ourselves - 6 uses.
751. stopped - 6 uses.
752. fire - 6 uses.
753. father - 6 uses.
754. mirror - 6 uses.
755. elbows - 6 uses.
756. corner - 6 uses.
757. table - 6 uses.
758. parking - 6 uses.
759. motherfucking - 6 uses.
760. magic - 6 uses.
761. babies - 6 uses.
762. bye - 6 uses.
763. woke - 6 uses.
764. clowns - 6 uses.
765. happened - 6 uses.
766. stack - 6 uses.
767. mess - 6 uses.
768. seems - 6 uses.
769. outrun - 6 uses.
770. everyone - 6 uses.
771. cop - 6 uses.
772. follow - 6 uses.
773. purple - 6 uses.
774. moves - 6 uses.
775. forty - 6 uses.
776. yelling - 6 uses.
777. boston - 6 uses.
778. trip - 6 uses.
779. freak - 6 uses.
780. chain - 6 uses.
781. passed - 6 uses.
782. stepped - 6 uses.
783. mother - 6 uses.
784. turning - 6 uses.
785. pockets - 6 uses.
786. edge - 6 uses.
787. rappers - 6 uses.
788. worth - 6 uses.
789. parents - 6 uses.
790. expect - 6 uses.
791. thin - 6 uses.
792. hip - 6 uses.
793. girls - 6 uses.
794. waking - 6 uses.
795. happy - 6 uses.
796. problem - 6 uses.
797. ocean - 6 uses.
798. dig - 6 uses.
799. core - 6 uses.
800. bang - 6 uses.
801. shame - 6 uses.
802. bucket - 6 uses.
803. bars - 6 uses.
804. often - 6 uses.
805. seek - 6 uses.
806. fam - 6 uses.
807. touch - 6 uses.
808. tie - 6 uses.
809. sarajevo - 6 uses.
810. pride - 6 uses.
811. star - 6 uses.
812. blind - 6 uses.
813. course - 6 uses.
814. speak - 6 uses.
815. dope - 6 uses.
816. sell - 6 uses.
817. picked - 6 uses.
818. glad - 6 uses.
819. chest - 6 uses.
820. stuff - 6 uses.
821. taught - 6 uses.
822. pie - 6 uses.
823. kissed - 6 uses.
824. christmas - 6 uses.
825. buried - 6 uses.
826. chorus - 6 uses.
827. thesaurus - 6 uses.
828. leaves - 6 uses.
829. someday - 6 uses.
830. shoulder - 6 uses.
831. skinny - 6 uses.
832. buck - 6 uses.
833. hole - 6 uses.
834. heavy - 6 uses.
835. wide - 6 uses.
836. save - 6 uses.
837. plate - 6 uses.
838. feed - 6 uses.
839. penis - 6 uses.
840. groupie - 6 uses.
841. headphones - 6 uses.
842. telling - 6 uses.
843. record - 6 uses.
844. evil - 6 uses.
845. everythings - 6 uses.
846. alright - 6 uses.
847. spend - 6 uses.
848. actually - 6 uses.
849. such - 6 uses.
850. paradise - 6 uses.
851. difficult - 6 uses.
852. mental - 5 uses.
853. worst - 5 uses.
854. brand - 5 uses.
855. facts - 5 uses.
856. breaking - 5 uses.
857. crime - 5 uses.
858. pale - 5 uses.
859. grew - 5 uses.
860. beyond - 5 uses.
861. flowers - 5 uses.
862. hung - 5 uses.
863. ice - 5 uses.
864. fake - 5 uses.
865. unless - 5 uses.
866. pants - 5 uses.
867. rolled - 5 uses.
868. yesterday - 5 uses.
869. bust - 5 uses.
870. paid - 5 uses.
871. nights - 5 uses.
872. ran - 5 uses.
873. slap - 5 uses.
874. rainbow - 5 uses.
875. tomorrow - 5 uses.
876. guts - 5 uses.
877. rocks - 5 uses.
878. writing - 5 uses.
879. morning - 5 uses.
880. frank - 5 uses.
881. dreams - 5 uses.
882. havent - 5 uses.
883. flame - 5 uses.
884. captain - 5 uses.
885. apparently - 5 uses.
886. pills - 5 uses.
887. popular - 5 uses.
888. smoking - 5 uses.
889. yellow - 5 uses.
890. glowing - 5 uses.
891. screens - 5 uses.
892. tap - 5 uses.
893. tastes - 5 uses.
894. chicken - 5 uses.
895. acting - 5 uses.
896. army - 5 uses.
897. peace - 5 uses.
898. motherfuckin - 5 uses.
899. treat - 5 uses.
900. leg - 5 uses.
901. science - 5 uses.
902. homie - 5 uses.
903. surface - 5 uses.
904. vodka - 5 uses.
905. pour - 5 uses.
906. men - 5 uses.
907. g - 5 uses.
908. hustle - 5 uses.
909. hood - 5 uses.
910. theyll - 5 uses.
911. lights - 5 uses.
912. lemonade - 5 uses.
913. woman - 5 uses.
914. six - 5 uses.
915. gas - 5 uses.
916. wine - 5 uses.
917. dudes - 5 uses.
918. trouble - 5 uses.
919. summer - 5 uses.
920. hunger - 5 uses.
921. lick - 5 uses.
922. numb - 5 uses.
923. cheek - 5 uses.
924. bedroom - 5 uses.
925. happen - 5 uses.
926. rapping - 5 uses.
927. threw - 5 uses.
928. book - 5 uses.
929. sweater - 5 uses.
930. shout - 5 uses.
931. likely - 5 uses.
932. round - 5 uses.
933. picking - 5 uses.
934. point - 5 uses.
935. million - 5 uses.
936. eating - 5 uses.
937. los - 5 uses.
938. angeles - 5 uses.
939. tv - 5 uses.
940. thousand - 5 uses.
941. pulling - 5 uses.
942. pencil - 5 uses.
943. brain - 5 uses.
944. whose - 5 uses.
945. greater - 5 uses.
946. cracked - 5 uses.
947. push - 5 uses.
948. shotgun - 5 uses.
949. none - 5 uses.
950. lean - 5 uses.
951. cover - 5 uses.
952. calling - 5 uses.
953. question - 5 uses.
954. wind - 5 uses.
955. chick - 5 uses.
956. spike - 5 uses.
957. higher - 5 uses.
958. clouds - 5 uses.
959. flip - 5 uses.
960. fade - 5 uses.
961. ink - 5 uses.
962. boom - 5 uses.
963. public - 5 uses.
964. art - 5 uses.
965. apart - 5 uses.
966. must - 5 uses.
967. boo - 5 uses.
968. brown - 5 uses.
969. final - 5 uses.
970. honor - 5 uses.
971. drops - 5 uses.
972. elements - 5 uses.
973. mountain - 5 uses.
974. mix - 5 uses.
975. infinity - 5 uses.
976. suit - 5 uses.
977. keeps - 5 uses.
978. wings - 5 uses.
979. hospital - 5 uses.
980. laugh - 5 uses.
981. danger - 5 uses.
982. chill - 5 uses.
983. draw - 5 uses.
984. pack - 5 uses.
985. lover - 5 uses.
986. field - 5 uses.
987. luck - 5 uses.
988. hearing - 5 uses.
989. met - 5 uses.
990. kinds - 5 uses.
991. kept - 5 uses.
992. almost - 5 uses.
993. club - 5 uses.
994. greatest - 5 uses.
995. doctor - 5 uses.
996. bone - 5 uses.
997. fashion - 5 uses.
998. sense - 5 uses.
999. rude - 5 uses.
1000. cock - 5 uses.
1001. naked - 5 uses.
1002. plain - 5 uses.
1003. savage - 5 uses.
1004. mama - 5 uses.
1005. flying - 5 uses.
1006. food - 5 uses.
1007. older - 5 uses.
1008. knock - 5 uses.
1009. coulda - 5 uses.
1010. months - 5 uses.
1011. least - 5 uses.
1012. meant - 5 uses.
1013. carry - 5 uses.
1014. swinging - 5 uses.
1015. space - 5 uses.
1016. dirty - 5 uses.
1017. number - 5 uses.
1018. silly - 5 uses.
1019. join - 5 uses.
1020. tune - 5 uses.
1021. throwing - 5 uses.
1022. hanging - 5 uses.
1023. handle - 5 uses.
1024. rough - 5 uses.
1025. toast - 5 uses.
1026. played - 5 uses.
1027. focus - 5 uses.
1028. attack - 5 uses.
1029. trick - 5 uses.
1030. spread - 5 uses.
1031. bird - 5 uses.
1032. kissing - 5 uses.
1033. brick - 5 uses.
1034. scene - 5 uses.
1035. rabbit - 5 uses.
1036. honest - 5 uses.
1037. screw - 5 uses.
1038. arthur - 5 uses.
1039. rope - 5 uses.
1040. wound - 5 uses.
1041. twenty - 5 uses.
1042. odd - 5 uses.
1043. son - 5 uses.
1044. batter - 5 uses.
1045. swear - 5 uses.
1046. sprinkle - 5 uses.
1047. disrespect - 5 uses.
1048. listening - 5 uses.
1049. bells - 5 uses.
1050. pimp - 5 uses.
1051. super - 5 uses.
1052. beauty - 5 uses.
1053. punch - 5 uses.
1054. church - 5 uses.
1055. pill - 5 uses.
1056. cast - 5 uses.
1057. slice - 5 uses.
1058. ao - 5 uses.
1059. nah - 5 uses.
1060. seizure - 5 uses.
1061. tick - 5 uses.
1062. whatup - 5 uses.
1063. mostly - 4 uses.
1064. ring - 4 uses.
1065. harm - 4 uses.
1066. health - 4 uses.
1067. opinions - 4 uses.
1068. faces - 4 uses.
1069. figure - 4 uses.
1070. settle - 4 uses.
1071. driving - 4 uses.
1072. lame - 4 uses.
1073. mask - 4 uses.
1074. staring - 4 uses.
1075. suitcase - 4 uses.
1076. doin - 4 uses.
1077. ego - 4 uses.
1078. shaking - 4 uses.
1079. anyway - 4 uses.
1080. date - 4 uses.
1081. agree - 4 uses.
1082. swimming - 4 uses.
1083. pool - 4 uses.
1084. filled - 4 uses.
1085. prepared - 4 uses.
1086. wrist - 4 uses.
1087. types - 4 uses.
1088. hang - 4 uses.
1089. coffee - 4 uses.
1090. signed - 4 uses.
1091. sweet - 4 uses.
1092. fan - 4 uses.
1093. week - 4 uses.
1094. calm - 4 uses.
1095. palm - 4 uses.
1096. lady - 4 uses.
1097. busting - 4 uses.
1098. mill - 4 uses.
1099. offa - 4 uses.
1100. trail - 4 uses.
1101. poem - 4 uses.
1102. poetry - 4 uses.
1103. understood - 4 uses.
1104. falling - 4 uses.
1105. named - 4 uses.
1106. weirdos - 4 uses.
1107. torn - 4 uses.
1108. machine - 4 uses.
1109. memories - 4 uses.
1110. ripped - 4 uses.
1111. died - 4 uses.
1112. plane - 4 uses.
1113. starting - 4 uses.
1114. easily - 4 uses.
1115. realized - 4 uses.
1116. holding - 4 uses.
1117. total - 4 uses.
1118. closer - 4 uses.
1119. cans - 4 uses.
1120. concert - 4 uses.
1121. lately - 4 uses.
1122. add - 4 uses.
1123. saving - 4 uses.
1124. style - 4 uses.
1125. kicking - 4 uses.
1126. lend - 4 uses.
1127. shoulda - 4 uses.
1128. harder - 4 uses.
1129. american - 4 uses.
1130. resistance - 4 uses.
1131. grown - 4 uses.
1132. wave - 4 uses.
1133. north - 4 uses.
1134. buy - 4 uses.
1135. jam - 4 uses.
1136. fifty - 4 uses.
1137. toss - 4 uses.
1138. verse - 4 uses.
1139. beats - 4 uses.
1140. pistols - 4 uses.
