Most used words by dodie: 
Number of songs scanned: 104

625. band - 3 uses.
626. dodie - 3 uses.
627. perfectly - 3 uses.
628. mosquito - 3 uses.
629. cream - 3 uses.
630. depend - 3 uses.
631. sucking - 3 uses.
632. vein - 3 uses.
633. buzzing - 3 uses.
634. bitten - 3 uses.
635. thirty - 3 uses.
636. scream - 3 uses.
637. gold - 3 uses.
638. secret - 3 uses.
639. waste - 3 uses.
640. poison - 3 uses.
641. sherlocked - 3 uses.
642. penny - 3 uses.
643. drops - 3 uses.
644. completely - 3 uses.
645. lying - 3 uses.
646. starry - 3 uses.
647. flat - 3 uses.
648. float - 3 uses.
649. laughing - 3 uses.
650. reach - 3 uses.
651. undo - 3 uses.
652. conversation - 3 uses.
653. brows - 3 uses.
654. raise - 3 uses.
655. freckles - 3 uses.
656. pop - 3 uses.
657. job - 3 uses.
658. special - 3 uses.
659. dress - 3 uses.
660. chance - 3 uses.
661. keeps - 3 uses.
662. dentist - 3 uses.
663. werent - 3 uses.
664. nights - 3 uses.
665. plead - 3 uses.
666. built - 3 uses.
667. opened - 3 uses.
668. shouldnt - 3 uses.
669. favour - 3 uses.
670. blew - 3 uses.
671. ignore - 3 uses.
672. stupid - 3 uses.
673. grin - 3 uses.
674. swimming - 3 uses.
675. falls - 3 uses.
676. hurting - 3 uses.
677. flow - 3 uses.
678. sorrow - 3 uses.
679. forgot - 3 uses.
680. sunshine - 3 uses.
681. caught - 3 uses.
682. spark - 3 uses.
683. asking - 3 uses.
684. filling - 3 uses.
685. sitting - 3 uses.
686. mystery - 3 uses.
687. bloom - 3 uses.
688. brave - 3 uses.
689. hide - 3 uses.
690. path - 3 uses.
691. both - 3 uses.
692. wondering - 3 uses.
693. bedroom - 3 uses.
694. nearly - 3 uses.
695. together - 3 uses.
696. met - 3 uses.
697. sounds - 3 uses.
698. touch - 3 uses.
699. sad - 3 uses.
700. daughters - 3 uses.
701. underwater - 3 uses.
702. car - 3 uses.
703. smells - 3 uses.
704. lemongrass - 3 uses.
705. apple - 3 uses.
706. juice - 3 uses.
707. peach - 3 uses.
708. polaroid - 3 uses.
709. picture - 3 uses.
710. story - 3 uses.
711. december - 3 uses.
712. actually - 3 uses.
713. year - 3 uses.
714. probably - 3 uses.
715. beg - 3 uses.
716. mediocre - 3 uses.
717. braces - 3 uses.
718. bikes - 3 uses.
719. doodles - 3 uses.
720. stories - 3 uses.
721. coursework - 3 uses.
722. 5 - 3 uses.
723. crying - 3 uses.
724. kinder - 3 uses.
725. tune - 3 uses.
726. nervous - 3 uses.
727. stood - 3 uses.
728. girls - 3 uses.
729. dread - 3 uses.
730. darling - 3 uses.
731. catch - 3 uses.
732. melting - 3 uses.
733. uke - 3 uses.
734. machine - 3 uses.
735. nose - 3 uses.
736. diamonds - 3 uses.
737. dooooo - 3 uses.
738. metals - 3 uses.
739. roses - 3 uses.
740. petals - 3 uses.
741. yooooouu - 3 uses.
742. floor - 3 uses.
743. expect - 3 uses.
744. closure - 3 uses.
745. common - 3 uses.
746. tequilas - 3 uses.
747. messing - 3 uses.
748. cried - 3 uses.
749. breathe - 3 uses.
750. breaking - 3 uses.
751. exist - 3 uses.
752. guy - 3 uses.
753. paper - 3 uses.
754. butterscotch - 3 uses.
755. stings - 3 uses.
756. adored - 3 uses.
757. quick - 3 uses.
758. clouds - 3 uses.
759. butterflies - 3 uses.
760. page - 3 uses.
761. wants - 3 uses.
762. bleed - 3 uses.
763. screen - 3 uses.
764. nothings - 3 uses.
765. clean - 3 uses.
766. ukulele - 3 uses.
767. misery - 3 uses.
768. snow - 3 uses.
769. sweeties - 3 uses.
770. carrots - 3 uses.
771. cookies - 3 uses.
772. crackers - 3 uses.
773. laughter - 3 uses.
774. jokes - 3 uses.
775. brandy - 3 uses.
776. games - 3 uses.
777. movies - 3 uses.
778. fireplace - 3 uses.
779. fades - 3 uses.
780. cinnamon - 3 uses.
781. glittery - 3 uses.
782. trees - 3 uses.
783. handsome - 3 uses.
784. stranger - 3 uses.
785. absolutely - 3 uses.
786. differently - 3 uses.
787. lie - 3 uses.
788. rewire - 3 uses.
789. wow - 3 uses.
790. window - 3 uses.
791. rules - 3 uses.
792. spikes - 3 uses.
793. american - 3 uses.
794. apparel - 3 uses.
795. underwear - 3 uses.
796. tattooed - 3 uses.
797. simpsons - 3 uses.
798. masters - 3 uses.
799. procrastination - 3 uses.
800. fangirls - 3 uses.
801. subscribers - 3 uses.
802. nation - 3 uses.
803. dftba - 3 uses.
804. youtubers - 3 uses.
805. views - 3 uses.
806. insides - 2 uses.
807. having - 2 uses.
808. advice - 2 uses.
809. comfort - 2 uses.
810. ideas - 2 uses.
811. shed - 2 uses.
812. careful - 2 uses.
813. wished - 2 uses.
814. coated - 2 uses.
815. smoke - 2 uses.
816. choke - 2 uses.
817. joking - 2 uses.
818. circles - 2 uses.
819. gasp - 2 uses.
820. chilly - 2 uses.
821. constantly - 2 uses.
822. stepped - 2 uses.
823. air - 2 uses.
824. gulp - 2 uses.
825. poppys - 2 uses.
826. dancer - 2 uses.
827. replaced - 2 uses.
828. given - 2 uses.
829. eggshells - 2 uses.
830. push - 2 uses.
831. shove - 2 uses.
832. studio - 2 uses.
833. pair - 2 uses.
834. lacking - 2 uses.
835. worries - 2 uses.
836. performing - 2 uses.
837. pas - 2 uses.
838. de - 2 uses.
839. deux - 2 uses.
840. souls - 2 uses.
841. loves - 2 uses.
842. dances - 2 uses.
843. partner - 2 uses.
844. arm - 2 uses.
845. bounce - 2 uses.
846. dare - 2 uses.
847. check - 2 uses.
848. flames - 2 uses.
849. wheres - 2 uses.
850. self - 2 uses.
851. control - 2 uses.
852. fly - 2 uses.
853. bow - 2 uses.
854. refreshed - 2 uses.
855. palm - 2 uses.
856. pad - 2 uses.
857. easiest - 2 uses.
858. six - 2 uses.
859. panic - 2 uses.
860. uneasy - 2 uses.
861. toy - 2 uses.
862. hopes - 2 uses.
863. annoyed - 2 uses.
864. stereotype - 2 uses.
865. second - 2 uses.
866. turns - 2 uses.
867. crushed - 2 uses.
868. shiny - 2 uses.
869. weekend - 2 uses.
870. books - 2 uses.
871. key - 2 uses.
872. case - 2 uses.
873. few - 2 uses.
874. rooms - 2 uses.
875. notes - 2 uses.
876. spending - 2 uses.
877. favourite - 2 uses.
878. scary - 2 uses.
879. cup - 2 uses.
880. birthday - 2 uses.
881. keys - 2 uses.
882. bought - 2 uses.
883. barbecue - 2 uses.
884. begun - 2 uses.
885. invite - 2 uses.
886. won - 2 uses.
887. singular - 2 uses.
888. mayonnaise - 2 uses.
889. raised - 2 uses.
890. cake - 2 uses.
891. water - 2 uses.
892. laughs - 2 uses.
893. child - 2 uses.
894. mostly - 2 uses.
895. swell - 2 uses.
896. land - 2 uses.
897. lives - 2 uses.
898. died - 2 uses.
899. strings - 2 uses.
900. strength - 2 uses.
901. fifty - 2 uses.
902. mood - 2 uses.
903. jealous - 2 uses.
904. knots - 2 uses.
905. soften - 2 uses.
906. search - 2 uses.
907. hurts - 2 uses.
908. purple - 2 uses.
909. cheekbones - 2 uses.
910. hidden - 2 uses.
911. wet - 2 uses.
912. clothes - 2 uses.
913. buy - 2 uses.
914. disgusting - 2 uses.
915. drew - 2 uses.
916. jack - 2 uses.
917. sammy - 2 uses.
