Most used words by Underoath: 
Number of songs scanned: 96

608. mercy - 3 uses.
609. sing - 3 uses.
610. fills - 3 uses.
611. focus - 3 uses.
612. sleeping - 3 uses.
613. savior - 3 uses.
614. decay - 3 uses.
615. vision - 3 uses.
616. mistake - 3 uses.
617. passing - 3 uses.
618. perfection - 3 uses.
619. shadow - 3 uses.
620. trees - 3 uses.
621. spent - 3 uses.
622. tied - 3 uses.
623. repeat - 3 uses.
624. spin - 3 uses.
625. half - 3 uses.
626. state - 3 uses.
627. move - 3 uses.
628. thinking - 3 uses.
629. we-walk-a-lone - 3 uses.
630. shame - 3 uses.
631. bear - 3 uses.
632. dancing - 3 uses.
633. stare - 3 uses.
634. watching - 3 uses.
635. pulling - 3 uses.
636. starting - 3 uses.
637. dear - 3 uses.
638. unfaithful - 3 uses.
639. sweet - 3 uses.
640. starts - 3 uses.
641. exit - 3 uses.
642. whose - 3 uses.
643. nowhere - 3 uses.
644. climbing - 3 uses.
645. deep - 3 uses.
646. kept - 3 uses.
647. point - 3 uses.
648. sleepless - 3 uses.
649. trust - 3 uses.
650. wrongs - 3 uses.
651. beggars - 3 uses.
652. existence - 3 uses.
653. revolution - 3 uses.
654. underground - 3 uses.
655. rescue - 3 uses.
656. seeking - 3 uses.
657. happen - 3 uses.
658. loss - 3 uses.
659. paint - 3 uses.
660. nervous - 3 uses.
661. scars - 3 uses.
662. press - 3 uses.
663. mile - 3 uses.
664. events - 3 uses.
665. ledge - 3 uses.
666. unheard - 3 uses.
667. shell - 3 uses.
668. sea - 3 uses.
669. wasnt - 3 uses.
670. er - 3 uses.
671. hann - 3 uses.
672. á - 3 uses.
673. disaster - 3 uses.
674. flash - 3 uses.
675. mirror - 3 uses.
676. animal - 3 uses.
677. cannibal - 3 uses.
678. dive - 3 uses.
679. blade - 3 uses.
680. apathy - 3 uses.
681. unbearable - 2 uses.
682. cries - 2 uses.
683. gift - 2 uses.
684. raped - 2 uses.
685. bleed - 2 uses.
686. helps - 2 uses.
687. girls - 2 uses.
688. young - 2 uses.
689. hears - 2 uses.
690. win - 2 uses.
691. fading - 2 uses.
692. piece - 2 uses.
693. hanging - 2 uses.
694. tunnel - 2 uses.
695. drawing - 2 uses.
696. moth - 2 uses.
697. flame - 2 uses.
698. hit - 2 uses.
699. withdrawal - 2 uses.
700. medicate - 2 uses.
701. safety - 2 uses.
702. fit - 2 uses.
703. upon - 2 uses.
704. request - 2 uses.
705. failure - 2 uses.
706. hour - 2 uses.
707. pour - 2 uses.
708. itself - 2 uses.
709. cracks - 2 uses.
710. laughter - 2 uses.
711. pride - 2 uses.
712. eternal - 2 uses.
713. choose - 2 uses.
714. chosen - 2 uses.
715. suicide - 2 uses.
716. fingers - 2 uses.
717. pisces - 2 uses.
718. heart-shaped - 2 uses.
719. weeks - 2 uses.
720. drawn - 2 uses.
721. magnetar - 2 uses.
722. pit - 2 uses.
723. trap - 2 uses.
724. eat - 2 uses.
725. hair - 2 uses.
726. hopes - 2 uses.
727. swallowed - 2 uses.
728. age - 2 uses.
729. rip - 2 uses.
730. em - 2 uses.
731. descend - 2 uses.
732. backs - 2 uses.
733. neck - 2 uses.
734. share - 2 uses.
735. opens - 2 uses.
736. emptier - 2 uses.
737. drifted - 2 uses.
738. winter - 2 uses.
739. hiding - 2 uses.
740. wide - 2 uses.
741. alright - 2 uses.
742. songs - 2 uses.
743. pass - 2 uses.
744. lonely - 2 uses.
745. unwanted - 2 uses.
746. drift - 2 uses.
747. blocked - 2 uses.
748. sight - 2 uses.
749. started - 2 uses.
750. everybody - 2 uses.
751. album - 2 uses.
752. allow - 2 uses.
753. arent - 2 uses.
754. imagine - 2 uses.
755. realize - 2 uses.
756. lot - 2 uses.
757. force - 2 uses.
758. throat - 2 uses.
759. void - 2 uses.
760. gap - 2 uses.
761. shoes - 2 uses.
762. opened - 2 uses.
763. melt - 2 uses.
764. self - 2 uses.
765. christian - 2 uses.
766. pay - 2 uses.
767. childs - 2 uses.
768. convenience - 2 uses.
769. big - 2 uses.
770. continue - 2 uses.
771. familiar - 2 uses.
772. pale - 2 uses.
773. whoa - 2 uses.
774. bones - 2 uses.
775. hopeless - 2 uses.
776. closed - 2 uses.
777. car - 2 uses.
778. seeing - 2 uses.
779. holding - 2 uses.
780. screams - 2 uses.
781. december - 2 uses.
782. grief - 2 uses.
783. searching - 2 uses.
784. laying - 2 uses.
785. wind - 2 uses.
786. wishing - 2 uses.
787. pretty - 2 uses.
788. met - 2 uses.
789. pictures - 2 uses.
790. present - 2 uses.
791. brought - 2 uses.
792. chest - 2 uses.
793. fallen - 2 uses.
794. everyone - 2 uses.
795. happy - 2 uses.
796. damage - 2 uses.
797. damaged - 2 uses.
798. ghostghost - 2 uses.
799. sacrifice - 2 uses.
800. satan - 2 uses.
801. wheres - 2 uses.
802. washed - 2 uses.
803. renewed - 2 uses.
804. crucified - 2 uses.
805. throne - 2 uses.
806. engulfing - 2 uses.
807. quiet - 2 uses.
808. captive - 2 uses.
809. neither - 2 uses.
810. desk - 2 uses.
811. arrange - 2 uses.
812. race - 2 uses.
813. human - 2 uses.
814. delicate - 2 uses.
815. gotta - 2 uses.
816. tremble - 2 uses.
817. peace - 2 uses.
818. shaking - 2 uses.
819. collecting - 2 uses.
820. define - 2 uses.
821. beneath - 2 uses.
822. frail - 2 uses.
823. chair - 2 uses.
824. lived - 2 uses.
825. riddled - 2 uses.
826. ear - 2 uses.
827. unclear - 2 uses.
828. waves - 2 uses.
829. scenery - 2 uses.
830. racing - 2 uses.
831. regret - 2 uses.
832. admit - 2 uses.
833. fool - 2 uses.
834. ignore - 2 uses.
835. wrists - 2 uses.
836. matter - 2 uses.
837. mattered - 2 uses.
838. shake - 2 uses.
839. addicted - 2 uses.
840. desperate - 2 uses.
841. bury - 2 uses.
842. clean - 2 uses.
843. decided - 2 uses.
844. speed - 2 uses.
845. sought - 2 uses.
846. cast - 2 uses.
847. gather - 2 uses.
848. meaning - 2 uses.
849. shatters - 2 uses.
850. halt - 2 uses.
851. quicker - 2 uses.
852. brilliant - 2 uses.
853. buckled - 2 uses.
854. drowned - 2 uses.
855. comfort - 2 uses.
856. taking - 2 uses.
857. filled - 2 uses.
858. almost - 2 uses.
859. steady - 2 uses.
860. busy - 2 uses.
861. naked - 2 uses.
862. north - 2 uses.
863. quite - 2 uses.
864. edition - 2 uses.
865. baggage - 2 uses.
866. spaces - 2 uses.
867. receiving - 2 uses.
868. changes - 2 uses.
869. fantasize - 2 uses.
870. manic - 2 uses.
871. acceptance - 2 uses.
872. hurts - 2 uses.
873. choking - 2 uses.
874. gaze - 2 uses.
875. frozen - 2 uses.
876. crowd - 2 uses.
877. ungraceful - 2 uses.
878. betray - 2 uses.
879. wrap - 2 uses.
880. loving - 2 uses.
881. unloving - 2 uses.
882. deepest - 2 uses.
883. bright - 2 uses.
884. torch - 2 uses.
885. mess - 2 uses.
886. eats - 2 uses.
887. invincible - 2 uses.
888. ago - 2 uses.
889. stuck - 2 uses.
890. revelation - 2 uses.
891. conviction - 2 uses.
892. exposing - 2 uses.
893. explanation - 2 uses.
894. worry - 2 uses.
895. anybody - 2 uses.
896. closing - 2 uses.
897. brace - 2 uses.
898. forgetting - 2 uses.
899. awakening - 2 uses.
900. blackness - 2 uses.
901. reality - 2 uses.
902. flowers - 2 uses.
903. dies - 2 uses.
904. wings - 2 uses.
905. grayscale - 2 uses.
906. hazel - 2 uses.
907. longing - 2 uses.
908. waits - 2 uses.
909. loves - 2 uses.
910. clutching - 2 uses.
911. prayer - 2 uses.
912. fairy - 2 uses.
913. tales - 2 uses.
914. lust - 2 uses.
915. within - 2 uses.
916. holy - 2 uses.
917. matters - 2 uses.
918. beliefs - 2 uses.
919. bad - 2 uses.
920. river - 2 uses.
921. emptiness - 2 uses.
922. tore - 2 uses.
923. naive - 2 uses.
924. preying - 2 uses.
925. drive - 2 uses.
926. deviate - 2 uses.
927. image - 2 uses.
928. bound - 2 uses.
929. choosers - 2 uses.
930. default - 2 uses.
931. reaction - 2 uses.
932. reflection - 2 uses.
933. restart - 2 uses.
934. pick - 2 uses.
935. planning - 2 uses.
936. answers - 2 uses.
937. caving - 2 uses.
938. digging - 2 uses.
939. release - 2 uses.
940. rather - 2 uses.
941. storm - 2 uses.
942. thank - 2 uses.
943. skipping - 2 uses.
944. haunt - 2 uses.
945. culprit - 2 uses.
946. harvest - 2 uses.
947. reflections - 2 uses.
948. escaping - 2 uses.
949. looks - 2 uses.
950. sad - 2 uses.
951. dirty - 2 uses.
952. blind - 2 uses.
953. buried - 2 uses.
954. limbs - 2 uses.
955. friends - 2 uses.
956. watched - 2 uses.
957. learned - 2 uses.
958. awaits - 2 uses.
959. prey - 2 uses.
