Most used words by Turnover: 
Number of songs scanned: 57

1090. slipped - 1 use.
1091. cagey - 1 use.
1092. daze - 1 use.
1093. sat - 1 use.
1094. setting - 1 use.
1095. read - 1 use.
1096. book - 1 use.
1097. fixed - 1 use.
1098. stare - 1 use.
1099. screen - 1 use.
1100. monster - 1 use.
1101. october - 1 use.
1102. yards - 1 use.
1103. swallowed - 1 use.
1104. cried - 1 use.
1105. million - 1 use.
1106. turned - 1 use.
1107. backs - 1 use.
1108. protect - 1 use.
1109. above - 1 use.
1110. eyelids - 1 use.
1111. darkness - 1 use.
1112. sleepless - 1 use.
1113. bloodshot - 1 use.
1114. carelessly - 1 use.
1115. humming - 1 use.
1116. positively - 1 use.
1117. unattached - 1 use.
1118. naive - 1 use.
1119. unattracted - 1 use.
1120. buzz - 1 use.
1121. elated - 1 use.
1122. lack - 1 use.
1123. interest - 1 use.
1124. wonderful - 1 use.
1125. secret - 1 use.
1126. space - 1 use.
1127. vibrant - 1 use.
1128. illustration - 1 use.
1129. create - 1 use.
1130. rabbit - 1 use.
1131. hole - 1 use.
1132. slope - 1 use.
1133. evenly - 1 use.
1134. faster - 1 use.
1135. stained - 1 use.
1136. windows - 1 use.
1137. draped - 1 use.
1138. painted - 1 use.
1139. fallen - 1 use.
1140. scrapes - 1 use.
1141. sending - 1 use.
1142. flame - 1 use.
1143. pride - 1 use.
1144. fantasies - 1 use.
1145. shape - 1 use.
1146. seemed - 1 use.
1147. tongue - 1 use.
1148. delicately - 1 use.
1149. polished - 1 use.
1150. practiced - 1 use.
1151. fill - 1 use.
