Most used words by EDEN: 
Number of songs scanned: 82

965. frightened - 2 uses.
966. threads - 2 uses.
967. situations - 2 uses.
968. dividing - 2 uses.
969. confusion - 2 uses.
970. pools - 2 uses.
971. ready - 2 uses.
972. lay - 2 uses.
973. unfinished - 2 uses.
974. jusquici - 2 uses.
975. va - 2 uses.
976. window - 2 uses.
977. lead - 2 uses.
978. rise - 2 uses.
979. quand - 2 uses.
980. pas - 2 uses.
981. à - 2 uses.
982. liked - 2 uses.
983. runaway - 2 uses.
984. closer - 2 uses.
985. higher - 2 uses.
986. phones - 2 uses.
987. stardust - 2 uses.
988. overwrite - 2 uses.
989. dancing - 2 uses.
990. called - 2 uses.
991. three-hundred - 2 uses.
992. sixty-five - 2 uses.
993. twenty - 2 uses.
994. absolutely - 2 uses.
995. mans - 2 uses.
996. unheard - 1 use.
997. became - 1 use.
998. horror - 1 use.
999. cuts - 1 use.
1000. goodbyes - 1 use.
1001. dragging - 1 use.
1002. defying - 1 use.
1003. brings - 1 use.
1004. september - 1 use.
1005. tables - 1 use.
1006. tracks - 1 use.
1007. finish - 1 use.
1008. bodys - 1 use.
1009. aching - 1 use.
1010. imma - 1 use.
1011. bliss - 1 use.
1012. takes - 1 use.
1013. flame - 1 use.
1014. absolve - 1 use.
1015. sin - 1 use.
1016. sullen - 1 use.
1017. sober - 1 use.
1018. despite - 1 use.
1019. calling - 1 use.
1020. stead - 1 use.
1021. queen - 1 use.
1022. movie - 1 use.
1023. mother - 1 use.
1024. becomes - 1 use.
1025. law - 1 use.
1026. demand - 1 use.
1027. schemes - 1 use.
1028. danced - 1 use.
1029. photo - 1 use.
1030. smelt - 1 use.
1031. sweet - 1 use.
1032. perfume - 1 use.
1033. brought - 1 use.
1034. nine - 1 use.
1035. cards - 1 use.
1036. attached - 1 use.
1037. barrel - 1 use.
1038. bullets - 1 use.
1039. indecisions - 1 use.
1040. kevlar - 1 use.
1041. bulletproof - 1 use.
1042. restart - 1 use.
1043. can— - 1 use.
1044. recording - 1 use.
1045. focus - 1 use.
1046. and— - 1 use.
1047. press - 1 use.
1048. ah - 1 use.
1049. pick - 1 use.
1050. got— - 1 use.
1051. recently - 1 use.
1052. pretty - 1 use.
1053. sh- - 1 use.
1054. question - 1 use.
1055. half-truths - 1 use.
1056. submission - 1 use.
1057. bookend - 1 use.
1058. large - 1 use.
1059. know—things - 1 use.
1060. cases - 1 use.
1061. amazing - 1 use.
1062. jumping - 1 use.
1063. comfort - 1 use.
1064. places - 1 use.
1065. culture - 1 use.
1066. learnt - 1 use.
1067. realized - 1 use.
1068. consideration - 1 use.
1069. playing - 1 use.
1070. entertain - 1 use.
1071. enjoyed - 1 use.
1072. afterwards - 1 use.
1073. shift - 1 use.
1074. mindset - 1 use.
1075. simple - 1 use.
1076. importantly - 1 use.
1077. artist - 1 use.
1078. similar - 1 use.
1079. position - 1 use.
1080. performing - 1 use.
1081. stage - 1 use.
1082. energetic - 1 use.
1083. performances - 1 use.
1084. hood - 1 use.
1085. weirdly - 1 use.
1086. relief - 1 use.
1087. knowing - 1 use.
1088. working - 1 use.
1089. catalyst - 1 use.
1090. taught - 1 use.
