Most used words by  Foxing: 
Number of songs scanned: 49

825. exit - 1 uses.
826. pregnant - 1 uses.
827. ex - 1 uses.
828. saying - 1 uses.
829. believes - 1 uses.
830. nice - 1 uses.
831. devastated - 1 uses.
832. went - 1 uses.
833. tall - 1 uses.
834. twisted - 1 uses.
835. ankles - 1 uses.
836. dance - 1 uses.
837. hill - 1 uses.
838. cartilage - 1 uses.
839. refuses - 1 uses.
840. weep - 1 uses.
841. king - 1 uses.
842. space - 1 uses.
843. petrified - 1 uses.
844. sight - 1 uses.
845. moment - 1 uses.
846. breathe - 1 uses.
847. undressing - 1 uses.
848. closet - 1 uses.
849. nobody - 1 uses.
850. fortune - 1 uses.
851. sword - 1 uses.
852. anvil - 1 uses.
853. birthed - 1 uses.
854. pyre - 1 uses.
855. ruin - 1 uses.
856. heavened - 1 uses.
857. breast - 1 uses.
858. bough - 1 uses.
859. ladder - 1 uses.
860. rungs - 1 uses.
861. spineless - 1 uses.
862. hadal - 1 uses.
863. lune - 1 uses.
864. locked - 1 uses.
865. eighteenth - 1 uses.
866. stairs - 1 uses.
867. disintegrates - 1 uses.
868. prayer - 1 uses.
869. pure - 1 uses.
870. peer - 1 uses.
871. gawking - 1 uses.
872. small - 1 uses.
873. lonesome - 1 uses.
874. calming - 1 uses.
875. comely - 1 uses.
876. angles - 1 uses.
877. casting - 1 uses.
878. sides - 1 uses.
879. infinity - 1 uses.
880. watered - 1 uses.
881. weights - 1 uses.
882. crushing - 1 uses.
883. cascades - 1 uses.
884. ripping - 1 uses.
885. sent - 1 uses.
886. tundras - 1 uses.
887. arctic - 1 uses.
888. touch - 1 uses.
889. cared - 1 uses.
890. bridges - 1 uses.
891. sell - 1 uses.
892. americas - 1 uses.
893. pool - 1 uses.
894. boy - 1 uses.
895. crown - 1 uses.
896. centerfold - 1 uses.
897. few - 1 uses.
898. tribute - 1 uses.
899. aw - 1 uses.
900. holding - 1 uses.
901. ashing - 1 uses.
902. gravestones - 1 uses.
903. photographs - 1 uses.
904. cork - 1 uses.
905. bords - 1 uses.
906. unfollowing - 1 uses.
907. elephant - 1 uses.
908. saddled - 1 uses.
909. loan - 1 uses.
910. ever - 1 uses.
911. since - 1 uses.
912. shit - 1 uses.
913. swimming - 1 uses.
914. mercury - 1 uses.
915. suffocated - 1 uses.
916. makeup - 1 uses.
917. runs - 1 uses.
918. rinses - 1 uses.
919. pores - 1 uses.
920. color - 1 uses.
921. crosses - 1 uses.
922. she’s - 1 uses.
923. damned - 1 uses.
924. unbroken - 1 uses.
925. won’t - 1 uses.
926. cypress - 1 uses.
927. grew - 1 uses.
928. leg - 1 uses.
929. year - 1 uses.
930. clear - 1 uses.
931. kiddo - 1 uses.
932. drew - 1 uses.
933. figures - 1 uses.
934. stars - 1 uses.
935. constellations - 1 uses.
936. correlate - 1 uses.
937. dropped - 1 uses.
938. foxes - 1 uses.
939. holes - 1 uses.
940. braced - 1 uses.
941. flood - 1 uses.
942. bleeding - 1 uses.
943. foolish - 1 uses.
944. salty - 1 uses.
945. breeze - 1 uses.
946. crooked - 1 uses.
947. kill - 1 uses.
948. waking - 1 uses.
949. thoughts - 1 uses.
950. ours - 1 uses.
951. perception - 1 uses.
952. callous - 1 uses.
953. rode - 1 uses.
954. tone - 1 uses.
955. defeat - 1 uses.
956. demands - 1 uses.
957. else - 1 uses.
958. describe - 1 uses.
959. bags - 1 uses.
960. already - 1 uses.
961. packed - 1 uses.
962. even - 1 uses.
963. headed - 1 uses.
964. mistake - 1 uses.
965. couch - 1 uses.
966. aims - 1 uses.
967. universe - 1 uses.
968. arguing - 1 uses.
969. kitchen - 1 uses.
970. argue - 1 uses.
971. miracle - 1 uses.
972. steeped - 1 uses.
973. cosmic - 1 uses.
974. bliss - 1 uses.
975. decide - 1 uses.
976. naked - 1 uses.
977. bathroom - 1 uses.
978. bare - 1 uses.
979. tile - 1 uses.
980. moaned - 1 uses.
981. convenience - 1 uses.
982. regret - 1 uses.
983. after - 1 uses.
984. fact - 1 uses.
985. hitch - 1 uses.
986. breaths - 1 uses.
987. false - 1 uses.
988. moves - 1 uses.
989. we’ll - 1 uses.
990. purged - 1 uses.
991. treason - 1 uses.
992. clung - 1 uses.
993. warp - 1 uses.
994. weighted - 1 uses.
995. loom - 1 uses.
996. woven - 1 uses.
997. constriction - 1 uses.
998. self - 1 uses.
999. trap - 1 uses.
1000. antlers - 1 uses.
1001. dry-rot - 1 uses.
1002. decay - 1 uses.
1003. channels - 1 uses.
1004. cursed - 1 uses.
1005. odds - 1 uses.
1006. parish - 1 uses.
1007. picnic - 1 uses.
1008. spring - 1 uses.
1009. 07 - 1 uses.
1010. bet - 1 uses.
1011. seems - 1 uses.
1012. attention - 1 uses.
1013. compliments - 1 uses.
1014. placing - 1 uses.
1015. bets - 1 uses.
1016. pascals - 1 uses.
1017. sirens - 1 uses.
1018. blare - 1 uses.
1019. start - 1 uses.
1020. sax - 1 uses.
1021. sings - 1 uses.
1022. karen - 1 uses.
1023. carpenter - 1 uses.
1024. begun - 1 uses.
1025. gasp - 1 uses.
1026. helpless - 1 uses.
1027. rock - 1 uses.
1028. wrote - 1 uses.
1029. letter - 1 uses.
1030. asked - 1 uses.
1031. send - 1 uses.
1032. read - 1 uses.
1033. retreated - 1 uses.
1034. snowcapped - 1 uses.
1035. waters - 1 uses.
1036. unknown - 1 uses.
1037. extracted - 1 uses.
1038. beating - 1 uses.
1039. envelop - 1 uses.
1040. twisting - 1 uses.
1041. sat - 1 uses.
1042. silence - 1 uses.
1043. burnt - 1 uses.
1044. sighing - 1 uses.
1045. rays - 1 uses.
1046. sunset - 1 uses.
1047. wasp - 1 uses.
1048. nest - 1 uses.
1049. insects - 1 uses.
1050. shudder - 1 uses.
1051. mention - 1 uses.
1052. half - 1 uses.
1053. hearted - 1 uses.
1054. reasons - 1 uses.
1055. salmon - 1 uses.
1056. pools - 1 uses.
1057. gathering - 1 uses.
1058. speed - 1 uses.
1059. though - 1 uses.
1060. crawling - 1 uses.
1061. valleys - 1 uses.
1062. spiraling - 1 uses.
1063. gentle - 1 uses.
1064. drop - 1 uses.
1065. sheep - 1 uses.
1066. walking - 1 uses.
1067. field - 1 uses.
1068. fleece - 1 uses.
1069. tried - 1 uses.
1070. today - 1 uses.
1071. desensitized - 1 uses.
1072. sleeve - 1 uses.
1073. weeps - 1 uses.
1074. mahlon - 1 uses.
1075. layne - 1 uses.
1076. nine - 1 uses.
1077. showed - 1 uses.
1078. surprise - 1 uses.
1079. crumbling - 1 uses.
1080. yo - 1 uses.
1081. quiero - 1 uses.
1082. veré - 1 uses.
1083. los - 1 uses.
1084. puentes - 1 uses.
1085. quemar - 1 uses.
1086. perro - 1 uses.
1087. querido - 1 uses.
1088. vendería - 1 uses.
1089. alma - 1 uses.
1090. para - 1 uses.
1091. limpiar - 1 uses.
1092. alberca - 1 uses.
1093. america - 1 uses.
1094. centro - 1 uses.
1095. revista - 1 uses.
1096. últimos - 1 uses.
1097. años - 1 uses.
1098. tributó - 1 uses.
1099. ya - 1 uses.
1100. tengo - 1 uses.
1101. siento - 1 uses.
1102. el - 1 uses.
1103. amor - 1 uses.
1104. suspensión - 1 uses.
1105. y - 1 uses.
1106. cerca - 1 uses.
1107. dios - 1 uses.
1108. tierra - 1 uses.
1109. santa - 1 uses.
1110. fumando - 1 uses.
1111. cementerios - 1 uses.
1112. colgando - 1 uses.
1113. las - 1 uses.
1114. dejando - 1 uses.
