Most used words by Deftones: 
Number of songs scanned: 132

856. test - 2 uses.
857. forth - 2 uses.
858. confess - 2 uses.
859. casing - 2 uses.
860. lines - 2 uses.
861. insides - 2 uses.
862. enemy - 2 uses.
863. needs - 2 uses.
864. lovers - 2 uses.
865. blamed - 2 uses.
866. lord - 2 uses.
867. bite - 2 uses.
868. uptight - 2 uses.
869. chop - 2 uses.
870. hun - 2 uses.
871. none - 2 uses.
872. palm - 2 uses.
873. faced - 2 uses.
874. road - 2 uses.
875. until - 2 uses.
876. virus - 2 uses.
877. evil - 2 uses.
878. crook - 2 uses.
879. stolen - 2 uses.
880. stole - 2 uses.
881. burned - 2 uses.
882. doin - 2 uses.
883. worked - 2 uses.
884. mad - 2 uses.
885. starts - 2 uses.
886. act - 2 uses.
887. signs - 2 uses.
888. full - 2 uses.
889. looking - 2 uses.
890. bills - 2 uses.
891. sittin - 2 uses.
892. million - 2 uses.
893. past - 2 uses.
894. cube - 2 uses.
895. told - 2 uses.
896. crown - 2 uses.
897. hop - 2 uses.
898. flat - 2 uses.
899. talking - 2 uses.
900. heavy - 2 uses.
901. police - 2 uses.
902. sister - 2 uses.
903. owl - 2 uses.
904. believing - 2 uses.
905. cup - 2 uses.
906. standin - 2 uses.
907. tall - 2 uses.
908. jackin - 2 uses.
909. bustin - 2 uses.
910. talkin - 2 uses.
911. adore - 2 uses.
912. house - 2 uses.
913. pops - 2 uses.
914. backpack - 2 uses.
915. heartless - 2 uses.
916. f*ckin - 2 uses.
917. choice - 2 uses.
918. activities - 2 uses.
919. glory - 2 uses.
920. thrust - 2 uses.
921. surrounded - 2 uses.
922. charms - 2 uses.
923. clouds - 2 uses.
924. reveal - 2 uses.
925. remind - 2 uses.
926. types - 2 uses.
927. needle - 2 uses.
928. kills - 2 uses.
929. carves - 2 uses.
930. designs - 2 uses.
931. twist - 2 uses.
932. views - 2 uses.
933. needles - 2 uses.
934. doubt - 2 uses.
935. sings - 2 uses.
936. dressed - 2 uses.
937. case - 2 uses.
938. phone - 2 uses.
939. sometimes - 2 uses.
940. bow - 2 uses.
941. laughed - 2 uses.
942. web - 2 uses.
943. drift - 2 uses.
944. meaning - 2 uses.
945. core - 2 uses.
946. someone - 2 uses.
947. lick - 2 uses.
948. peers - 2 uses.
949. herself - 2 uses.
950. live - 2 uses.
951. bit - 2 uses.
952. fix - 2 uses.
953. special - 2 uses.
954. tryin - 2 uses.
955. pain - 2 uses.
956. guard - 2 uses.
957. morning - 2 uses.
958. screaming - 2 uses.
959. listening - 2 uses.
960. lover - 2 uses.
961. kingdoms - 2 uses.
962. since - 2 uses.
963. rockets - 2 uses.
964. finally - 2 uses.
965. achieve - 2 uses.
966. approaching - 2 uses.
967. delayed - 2 uses.
968. ether - 2 uses.
969. everywhere - 2 uses.
970. bodies - 2 uses.
971. brought - 2 uses.
972. gore - 2 uses.
973. hits - 2 uses.
974. six - 2 uses.
975. cloud - 2 uses.
976. tool - 2 uses.
977. block - 2 uses.
978. jaw - 2 uses.
979. rot - 2 uses.
980. lot - 2 uses.
981. prep - 2 uses.
982. surface - 2 uses.
983. drip - 2 uses.
984. understand - 2 uses.
985. cuts - 2 uses.
986. mirrors - 2 uses.
987. chasing - 2 uses.
988. dripping - 2 uses.
989. glowing - 2 uses.
990. drowning - 2 uses.
991. relax - 2 uses.
992. higher - 2 uses.
993. hows - 2 uses.
994. says - 2 uses.
995. switching - 2 uses.
996. command - 2 uses.
997. easy - 2 uses.
998. horses - 2 uses.
999. forces - 2 uses.
1000. howling - 2 uses.
1001. meat - 2 uses.
1002. untie - 2 uses.
1003. unborn - 2 uses.
1004. scars - 2 uses.
1005. priestess - 2 uses.
1006. contact - 2 uses.
1007. remove - 2 uses.
1008. team - 2 uses.
1009. shady - 2 uses.
1010. weak - 2 uses.
1011. used - 2 uses.
1012. re-awake - 2 uses.
1013. gun - 2 uses.
1014. cherished - 2 uses.
1015. drinks - 2 uses.
1016. birth - 2 uses.
1017. bye - 2 uses.
1018. sift - 2 uses.
1019. cliques - 2 uses.
1020. halls - 2 uses.
1021. smokin - 2 uses.
1022. cigarettes - 2 uses.
1023. sippin - 2 uses.
1024. vodka - 2 uses.
1025. profess - 2 uses.
1026. cab - 2 uses.
1027. practice - 2 uses.
1028. notebook - 2 uses.
1029. pen - 2 uses.
1030. notes - 2 uses.
1031. pencils - 2 uses.
1032. flippin - 2 uses.
1033. coppin - 2 uses.
1034. stance - 2 uses.
1035. keys - 2 uses.
1036. weapons - 2 uses.
1037. walked - 2 uses.
1038. seemed - 2 uses.
1039. everythings - 2 uses.
1040. e-very-things - 2 uses.
1041. heard - 2 uses.
1042. somebody - 2 uses.
1043. walking - 2 uses.
1044. bottomless - 2 uses.
1045. glasses - 2 uses.
1046. lonely - 2 uses.
1047. violent - 2 uses.
1048. raised - 2 uses.
1049. haunts - 2 uses.
1050. wants - 2 uses.
1051. rise - 2 uses.
1052. armies - 2 uses.
1053. tune - 2 uses.
1054. beautiful - 2 uses.
1055. powers - 2 uses.
1056. tempt - 2 uses.
1057. after - 2 uses.
1058. consider - 2 uses.
1059. position - 2 uses.
1060. whatever - 2 uses.
1061. constant - 2 uses.
1062. hypnotized - 2 uses.
1063. winds - 2 uses.
1064. ornate - 2 uses.
1065. someplace - 2 uses.
1066. belongs - 2 uses.
1067. dick - 2 uses.
1068. small - 2 uses.
1069. getting - 2 uses.
1070. starin - 2 uses.
1071. gotta - 2 uses.
1072. bounce - 2 uses.
1073. comessoon - 2 uses.
1074. leather - 2 uses.
1075. leaves - 2 uses.
1076. daytime - 2 uses.
1077. teacher - 2 uses.
1078. niche - 2 uses.
1079. sigh - 2 uses.
1080. cruise - 2 uses.
1081. worth - 2 uses.
1082. soft - 2 uses.
1083. proves - 2 uses.
1084. arrived - 2 uses.
1085. engines - 2 uses.
1086. skies - 2 uses.
1087. whether - 2 uses.
1088. foolish - 2 uses.
1089. rather - 2 uses.
1090. mention - 2 uses.
1091. dry - 2 uses.
1092. funny - 2 uses.
1093. ago - 2 uses.
1094. heal - 2 uses.
1095. attached - 2 uses.
1096. relaxed - 2 uses.
1097. somehow - 2 uses.
1098. entire - 2 uses.
1099. becomes - 2 uses.
1100. meknow - 2 uses.
1101. faceyour - 2 uses.
1102. marvel - 2 uses.
1103. ticks - 2 uses.
1104. tick - 2 uses.
1105. nobody - 2 uses.
1106. viles - 2 uses.
1107. ignore - 2 uses.
1108. fixated - 2 uses.
1109. aaah - 2 uses.
1110. throat - 2 uses.
1111. knock - 2 uses.
1112. hardly - 2 uses.
1113. completely - 2 uses.
1114. touches - 2 uses.
1115. sweetly - 2 uses.
1116. reaches - 2 uses.
1117. deeply - 2 uses.
1118. haunted - 2 uses.
1119. maze - 2 uses.
1120. shall - 2 uses.
1121. won - 2 uses.
1122. wires - 2 uses.
1123. cigarette - 2 uses.
1124. losing - 2 uses.
1125. circle - 2 uses.
1126. lake - 2 uses.
1127. imagined - 2 uses.
1128. shape - 2 uses.
1129. unchained - 2 uses.
1130. shared - 2 uses.
1131. crossed - 2 uses.
1132. excelled - 2 uses.
1133. kill - 2 uses.
1134. spread - 2 uses.
