Most used words by SZA: 
Number of songs scanned: 60

952. hung - 1 use.
953. omnipotent - 1 use.
954. blast - 1 use.
955. bursting - 1 use.
956. answers - 1 use.
957. tandem - 1 use.
958. heat - 1 use.
959. accidents - 1 use.
960. rapture - 1 use.
961. boldly - 1 use.
962. willingly - 1 use.
963. kidnap - 1 use.
964. kidnapped - 1 use.
965. jesus - 1 use.
966. perils - 1 use.
967. standard - 1 use.
968. flying - 1 use.
969. fearless - 1 use.
970. kissed - 1 use.
971. november - 1 use.
972. tommy - 1 use.
973. landed - 1 use.
974. beds - 1 use.
975. past-time - 1 use.
976. raw - 1 use.
977. bought - 1 use.
978. thongs - 1 use.
979. jump - 1 use.
980. check - 1 use.
981. strip - 1 use.
982. club - 1 use.
983. petty - 1 use.
984. dues - 1 use.
985. shoes - 1 use.
986. men - 1 use.
987. alike - 1 use.
988. shift - 1 use.
989. dip - 1 use.
990. pm - 1 use.
991. cash - 1 use.
992. lunch - 1 use.
993. smoke - 1 use.
994. years - 1 use.
995. whoever - 1 use.
996. eat - 1 use.
997. heartbeat - 1 use.
998. join - 1 use.
999. swept - 1 use.
1000. euphoria - 1 use.
1001. breeze - 1 use.
1002. painless - 1 use.
1003. arms - 1 use.
1004. surround - 1 use.
1005. penny - 1 use.
1006. press - 1 use.
1007. lack - 1 use.
1008. thereof - 1 use.
1009. dropping - 1 use.
1010. stoned - 1 use.
1011. 7th - 1 use.
1012. grade - 1 use.
1013. learning - 1 use.
1014. shining - 1 use.
1015. tryin - 1 use.
1016. character - 1 use.
1017. uptight - 1 use.
1018. disturb - 1 use.
1019. aye - 1 use.
1020. reverse - 1 use.
1021. rewind - 1 use.
1022. fucked - 1 use.
1023. confused - 1 use.
1024. blowin - 1 use.
1025. fuse - 1 use.
1026. knew - 1 use.
1027. confess - 1 use.
1028. curse - 1 use.
1029. conjure - 1 use.
1030. coochie - 1 use.
1031. voodoo - 1 use.
1032. houdini - 1 use.
1033. hoochie - 1 use.
1034. boutta - 1 use.
1035. sell - 1 use.
1036. issue - 1 use.
1037. tomorrow - 1 use.
1038. dishes - 1 use.
1039. bake - 1 use.
1040. dugout - 1 use.
1041. fautleroy - 1 use.
1042. drownin - 1 use.
1043. ropes - 1 use.
1044. pop - 1 use.
1045. fist - 1 use.
1046. hip - 1 use.
1047. affection - 1 use.
1048. stoppin - 1 use.
1049. stick - 1 use.
1050. callin - 1 use.
1051. burnin - 1 use.
1052. stuttering - 1 use.
1053. shaken - 1 use.
1054. beautys - 1 use.
1055. hurry - 1 use.
1056. condescending - 1 use.
1057. skeleton - 1 use.
1058. doubtings - 1 use.
1059. blurry - 1 use.
1060. shooting - 1 use.
1061. mistake - 1 use.
1062. digging - 1 use.
1063. graves - 1 use.
1064. handing - 1 use.
1065. shovel - 1 use.
1066. gingerbread - 1 use.
1067. track - 1 use.
1068. veins - 1 use.
1069. lips - 1 use.
1070. thirteen - 1 use.
1071. tramp - 1 use.
1072. stamps - 1 use.
1073. pepper - 1 use.
1074. ann - 1 use.
1075. judge - 1 use.
1076. impatient - 1 use.
1077. conceited - 1 use.
1078. accept - 1 use.
1079. mom - 1 use.
1080. vans - 1 use.
1081. tacos - 1 use.
1082. spark - 1 use.
1083. blunt - 1 use.
1084. narcos - 1 use.
1085. episode - 1 use.
1086. gin - 1 use.
1087. juice - 1 use.
1088. shut - 1 use.
1089. ashamed - 1 use.
1090. therapy-y-y-y - 1 use.
1091. attractive - 1 use.
1092. ladylike - 1 use.
1093. clingy - 1 use.
1094. me-me-me-me - 1 use.
1095. me-me-me - 1 use.
1096. ohh-whoa - 1 use.
1097. yall - 1 use.
1098. contradicting - 1 use.
1099. ordinary - 1 use.
1100. sad - 1 use.
1101. corduroy - 1 use.
1102. wear - 1 use.
1103. arguments - 1 use.
1104. tripping - 1 use.
1105. whereabouts - 1 use.
1106. conflict - 1 use.
1107. rub - 1 use.
1108. static - 1 use.
1109. plug - 1 use.
1110. shake - 1 use.
1111. habit - 1 use.
1112. solid - 1 use.
1113. scrambled - 1 use.
1114. rider - 1 use.
1115. mishandle - 1 use.
1116. nonviolent - 1 use.
1117. ambushed - 1 use.
1118. wildin - 1 use.
1119. silent - 1 use.
1120. treatment - 1 use.
1121. permission - 1 use.
1122. missionary - 1 use.
1123. boring - 1 use.
1124. switch - 1 use.
1125. positions - 1 use.
1126. listen - 1 use.
1127. creep - 1 use.
1128. intentions - 1 use.
1129. pure - 1 use.
1130. narcissism - 1 use.
1131. level - 1 use.
1132. kismet - 1 use.
1133. reflections - 1 use.
1134. kismet… - 1 use.
1135. dope - 1 use.
1136. lots - 1 use.
1137. hoes - 1 use.
1138. fit - 1 use.
1139. borrowed - 1 use.
1140. nouns - 1 use.
