Most used words by Lucero: 
Number of songs scanned: 126

783. wearing - 3 uses.
784. backing - 3 uses.
785. paid - 3 uses.
786. keeping - 3 uses.
787. rocks - 3 uses.
788. saturday - 3 uses.
789. thieves - 3 uses.
790. either - 3 uses.
791. angry - 3 uses.
792. poor - 3 uses.
793. heartache - 3 uses.
794. fighting - 3 uses.
795. haunted - 3 uses.
796. lakes - 3 uses.
797. nineteen - 3 uses.
798. anyway - 3 uses.
799. anjalee - 3 uses.
800. brings - 3 uses.
801. lies - 3 uses.
802. shining - 3 uses.
803. gravel - 3 uses.
804. motorcycle - 3 uses.
805. kill - 3 uses.
806. lake - 3 uses.
807. dug - 3 uses.
808. older - 3 uses.
809. heavens - 3 uses.
810. knock - 3 uses.
811. cars - 3 uses.
812. sang - 3 uses.
813. banks - 3 uses.
814. belong - 3 uses.
815. lightning - 3 uses.
816. track - 3 uses.
817. sparks - 3 uses.
818. edge - 3 uses.
819. feed - 3 uses.
820. real - 3 uses.
821. decide - 3 uses.
822. plans - 3 uses.
823. walked - 3 uses.
824. religion - 3 uses.
825. guilty - 3 uses.
826. dog - 3 uses.
827. fuse - 3 uses.
828. cannonball - 3 uses.
829. match - 3 uses.
830. crystal - 3 uses.
831. motion - 3 uses.
832. room - 3 uses.
833. strangers - 3 uses.
834. shine - 3 uses.
835. fellas - 3 uses.
836. death - 3 uses.
837. beat - 3 uses.
838. ask - 3 uses.
839. twice - 3 uses.
840. scatter - 3 uses.
841. odds - 3 uses.
842. hello - 3 uses.
843. busy - 3 uses.
844. prettiest - 3 uses.
845. lead - 3 uses.
846. army - 3 uses.
847. meet - 3 uses.
848. diner - 3 uses.
849. graveyard - 3 uses.
850. bottles - 3 uses.
851. cheap - 3 uses.
852. dyings - 3 uses.
853. noon - 3 uses.
854. rye - 3 uses.
855. deep - 3 uses.
856. crashin - 3 uses.
857. distant - 3 uses.
858. stays - 3 uses.
859. march - 3 uses.
860. field - 3 uses.
861. battle - 3 uses.
862. crossing - 3 uses.
863. rockets - 3 uses.
864. mechanic - 3 uses.
865. saint - 3 uses.
866. land - 3 uses.
867. astray - 3 uses.
868. numbers - 3 uses.
869. dial - 3 uses.
870. perfume - 3 uses.
871. holding - 2 uses.
872. givin - 2 uses.
873. strength - 2 uses.
874. pair - 2 uses.
875. share - 2 uses.
876. adored - 2 uses.
877. neck - 2 uses.
878. treat - 2 uses.
879. valentine - 2 uses.
880. crossed - 2 uses.
881. howled - 2 uses.
882. taken - 2 uses.
883. shoulder - 2 uses.
884. finest - 2 uses.
885. owe - 2 uses.
886. proper - 2 uses.
887. intentions - 2 uses.
888. fightin - 2 uses.
889. watched - 2 uses.
890. stare - 2 uses.
891. resist - 2 uses.
892. sat - 2 uses.
893. waste - 2 uses.
894. theirs - 2 uses.
895. lazy - 2 uses.
896. wiped - 2 uses.
897. deal - 2 uses.
898. jacket - 2 uses.
899. coke - 2 uses.
900. parked - 2 uses.
901. buccaneer - 2 uses.
902. simply - 2 uses.
903. cursed - 2 uses.
904. savior - 2 uses.
905. burden - 2 uses.
906. bare - 2 uses.
907. fill - 2 uses.
908. figure - 2 uses.
909. roses - 2 uses.
910. yourself - 2 uses.
911. adore - 2 uses.
912. crash - 2 uses.
913. shores - 2 uses.
914. reach - 2 uses.
915. shots - 2 uses.
916. feels - 2 uses.
917. booze - 2 uses.
918. seat - 2 uses.
919. wrapped - 2 uses.
920. waist - 2 uses.
921. laugh - 2 uses.
922. laid - 2 uses.
923. hi - 2 uses.
924. loves - 2 uses.
925. backs - 2 uses.
926. horses - 2 uses.
927. screaming - 2 uses.
928. interstate - 2 uses.
929. cigarette - 2 uses.
930. mustve - 2 uses.
931. burned - 2 uses.
932. guitars - 2 uses.
933. pool - 2 uses.
934. starts - 2 uses.
935. sisters - 2 uses.
936. showed - 2 uses.
937. form - 2 uses.
938. loose - 2 uses.
939. drift - 2 uses.
940. indian - 2 uses.
941. answers - 2 uses.
942. front - 2 uses.
943. corner - 2 uses.
944. tables - 2 uses.
945. link - 2 uses.
946. fence - 2 uses.
947. smiled - 2 uses.
948. electric - 2 uses.
949. lying - 2 uses.
950. grass - 2 uses.
951. bluff - 2 uses.
952. san - 2 uses.
953. shipped - 2 uses.
954. slept - 2 uses.
955. lots - 2 uses.
956. daddy - 2 uses.
957. ceiling - 2 uses.
958. gun - 2 uses.
959. quick - 2 uses.
960. reckon - 2 uses.
961. hood - 2 uses.
962. top - 2 uses.
963. ridge - 2 uses.
964. goddamned - 2 uses.
965. everywhere - 2 uses.
